datetime,instrument_count,buyable_count,sellable_count,suspended_count,limit_up_count,limit_down_count,outer_split_id
2024-09-26,2245,2125,2239,5,115,1,split_001
2024-09-27,2245,2024,2239,5,216,1,split_001
2024-09-30,2245,895,2240,5,1345,0,split_001
2024-10-08,2245,1210,2238,7,1028,0,split_001
2024-10-09,2245,2193,1154,8,44,1083,split_001
2024-10-10,2245,2198,2180,6,41,59,split_001
2024-10-11,2245,2223,2154,6,16,85,split_001
2024-10-14,2245,2123,2238,6,116,1,split_001
2024-10-15,2245,2211,2234,5,29,6,split_001
2024-10-16,2245,2186,2232,4,55,9,split_001
2024-10-17,2245,2210,2236,3,32,6,split_001
2024-10-18,2245,2094,2242,3,148,0,split_001
2024-10-21,2245,2124,2241,4,117,0,split_001
2024-10-22,2245,2180,2224,3,62,18,split_001
2024-10-23,2245,2181,2239,4,60,2,split_001
2024-10-24,2245,2203,2230,4,38,11,split_001
2024-10-25,2245,2144,2241,4,97,0,split_001
2024-10-28,2245,2135,2238,6,104,1,split_001
2024-10-29,2245,2175,2233,5,65,7,split_001
2024-10-30,2245,2155,2229,7,83,9,split_001
2024-10-31,2245,2125,2237,6,114,2,split_001
2024-11-01,2245,2185,2044,6,54,195,split_001
2024-11-04,2245,2141,2213,5,99,27,split_001
2024-11-05,2245,2106,2241,4,135,0,split_001
2024-11-06,2245,2154,2239,4,87,2,split_001
2024-11-07,2245,2128,2229,6,111,10,split_001
2024-11-08,2245,2164,2235,5,76,5,split_001
2024-11-11,2245,2106,2234,4,135,7,split_001
2024-11-12,2245,2210,2229,5,30,11,split_001
2024-11-13,2245,2200,2238,5,40,2,split_001
2024-11-14,2245,2226,2216,6,13,23,split_001
2024-11-15,2245,2210,2215,7,28,23,split_001
2024-11-18,2245,2205,2111,9,31,125,split_001
2024-11-19,2245,2168,2229,7,70,9,split_001
2024-11-20,2245,2149,2239,6,90,0,split_001
2024-11-21,2245,2190,2237,6,49,2,split_001
2024-11-22,2245,2212,2227,5,28,13,split_001
2024-11-25,2245,2181,2231,5,59,9,split_001
2024-11-26,2245,2201,2201,4,40,40,split_001
2024-11-27,2245,2182,2237,4,59,4,split_001
2024-11-28,2245,2202,2236,6,37,3,split_001
2024-11-29,2245,2172,2238,3,70,4,split_001
2024-12-02,2245,2163,2240,4,78,1,split_001
2024-12-03,2245,2194,2237,4,47,4,split_001
2024-12-04,2245,2205,2232,5,35,8,split_001
2024-12-05,2245,2168,2238,4,73,3,split_001
2024-12-06,2245,2186,2239,4,55,2,split_001
2024-12-09,2245,2203,2228,3,39,14,split_001
2024-12-10,2245,2186,2237,3,56,5,split_001
2024-12-11,2245,2176,2234,4,65,7,split_001
2024-12-12,2245,2190,2235,3,52,7,split_001
2024-12-13,2245,2187,2238,3,55,4,split_001
2024-12-16,2245,2205,2226,2,38,17,split_001
2024-12-17,2245,2229,2162,4,12,79,split_001
2024-12-18,2245,2188,2235,5,52,5,split_001
2024-12-19,2245,2199,2226,5,41,14,split_001
2024-12-20,2245,2198,2236,5,42,4,split_001
2024-12-23,2245,2226,2138,7,12,100,split_001
2024-12-24,2245,2208,2230,7,30,8,split_001
2024-12-25,2245,2229,2211,7,9,27,split_001
2024-12-26,2245,2189,2235,7,49,3,split_001
2024-12-27,2245,2223,2229,9,13,7,split_001
2024-12-30,2245,2215,2225,11,19,9,split_001
2024-12-31,2245,2231,2208,8,6,29,split_001
2025-01-02,2245,2212,2224,10,23,11,split_001
2025-01-03,2245,2220,2161,9,16,75,split_001
2025-01-06,2245,2215,2200,10,20,35,split_001
2025-01-07,2245,2186,2235,6,53,4,split_001
2025-01-08,2245,2212,2236,7,26,2,split_001
2025-01-09,2245,2199,2236,7,39,2,split_001
2025-01-10,2245,2222,2212,8,15,25,split_001
2025-01-13,2245,2218,2227,7,20,11,split_001
2025-01-14,2245,2137,2239,6,102,0,split_001
2025-01-15,2245,2216,2232,7,22,6,split_001
2025-01-16,2245,2214,2237,6,25,2,split_001
2025-01-17,2245,2215,2234,5,25,6,split_001
2025-01-20,2245,2216,2233,5,24,7,split_001
2025-01-21,2245,2215,2232,5,25,8,split_001
2025-01-22,2245,2224,2232,4,17,9,split_001
2025-01-23,2245,2228,2237,3,14,5,split_001
2025-01-24,2245,2182,2235,4,59,6,split_001
2025-01-27,2245,2223,2202,4,18,39,split_001
