system,factor,step,error_type,error,traceback_tail
jqfactor_analyzer,alpha158_ROC10,factor_alpha_beta,ValueError,"The name date occurs multiple times, use a level number","ValueError: The name date occurs multiple times, use a level number"
jqfactor_analyzer,alpha158_ROC20,factor_returns,ValueError,"The name date occurs multiple times, use a level number","ValueError: The name date occurs multiple times, use a level number"
jqfactor_analyzer,alpha158_ROC20,factor_alpha_beta,ValueError,"The name date occurs multiple times, use a level number","ValueError: The name date occurs multiple times, use a level number"
jqfactor_analyzer,alpha158_ROC30,factor_returns,ValueError,"The name date occurs multiple times, use a level number","ValueError: The name date occurs multiple times, use a level number"
jqfactor_analyzer,alpha158_ROC30,factor_alpha_beta,ValueError,"The name date occurs multiple times, use a level number","ValueError: The name date occurs multiple times, use a level number"
jqfactor_analyzer,alpha158_ROC60,factor_returns,ValueError,"The name date occurs multiple times, use a level number","ValueError: The name date occurs multiple times, use a level number"
jqfactor_analyzer,alpha158_ROC60,factor_alpha_beta,ValueError,"The name date occurs multiple times, use a level number","ValueError: The name date occurs multiple times, use a level number"
jqfactor_analyzer,alpha158_MA5,factor_returns,ValueError,"The name date occurs multiple times, use a level number","ValueError: The name date occurs multiple times, use a level number"
jqfactor_analyzer,alpha158_MA5,factor_alpha_beta,ValueError,"The name date occurs multiple times, use a level number","ValueError: The name date occurs multiple times, use a level number"
jqfactor_analyzer,alpha158_MA10,factor_returns,ValueError,"The name date occurs multiple times, use a level number","ValueError: The name date occurs multiple times, use a level number"
jqfactor_analyzer,alpha158_MA10,factor_alpha_beta,ValueError,"The name date occurs multiple times, use a level number","ValueError: The name date occurs multiple times, use a level number"
