factor_id,original_source,formula_semantic_summary,existing_family,existing_mechanism,proposed_economic_theme,proposed_subtheme,raw_eligibility,composite_eligibility,direction_authority_status,horizon_window,measurement_type,unit_dimension,dated_availability,authoritative_semantics,known_accepted_residual,semantic_resolved,unresolved_status,source_reference,exact_duplicate_group,exact_relation_scope,dense_lag_family,dense_lag,candidate_representative_role,candidate_composite_role,candidate_hybrid_role,inclusion_exclusion_reason,coverage_scope,full_coverage,worst_era_coverage,coverage_A,coverage_B,coverage_C,coverage_D,infinite_fraction,legacy_cluster_id_0_7,legacy_cluster_id_0_85,legacy_cluster_id_0_95,legacy_cluster_id_0_995
alpha158_CORD5,alpha158,"Qlib Alpha158 expression: Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 5)",LiquidityTrading,alpha158_cord,pending_review,pending_review,existing_anchor_input_only_new_arm_pending,pending_direction_and_group_review,not_imported_from_primary_outcomes_pending_external_definition_review,window_5,ratio_or_normalized_statistic,ratio_or_normalized_statistic,inherit_canonical_contract_per_factor_event_rule_pending_mapping,factor_universe_v2_lineage_accepted_semantics,none,True,,Qlib expression inventory; lag/operator identity retained,,,,,pending_not_a_pool,pending_not_a_pool,pending_not_a_pool,inventory_only_no_selection,2010-01-29..2023-12-29_existing_feature_only_summary,0.9717474750060612,0.9277974689769691,0.9719977938700346,0.9277974689769691,0.9883515840708631,0.9989400848757471,0.0,3d98f2e823046ee142e9,d5a17e2d5b78a507fac1,0d495298578d1efc9d18,8b1b8a3355693cfef9d2
alpha158_CORD60,alpha158,"Qlib Alpha158 expression: Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 60)",LiquidityTrading,alpha158_cord,pending_review,pending_review,existing_anchor_input_only_new_arm_pending,pending_direction_and_group_review,not_imported_from_primary_outcomes_pending_external_definition_review,window_60,ratio_or_normalized_statistic,ratio_or_normalized_statistic,inherit_canonical_contract_per_factor_event_rule_pending_mapping,factor_universe_v2_lineage_accepted_semantics,none,True,,Qlib expression inventory; lag/operator identity retained,,,,,pending_not_a_pool,pending_not_a_pool,pending_not_a_pool,inventory_only_no_selection,2010-01-29..2023-12-29_existing_feature_only_summary,0.9964446037336931,0.9895218078228516,0.9975662744952462,0.9895218078228516,0.9981293764611036,0.9999779900817806,0.0,67a0a5f4dd2913c3a06a,ee1914b04993cbfcfdf0,abcb39d6433b8afd507a,c6e1bdb112c357ea3f27
alpha158_CORR10,alpha158,"Qlib Alpha158 expression: Corr($close, Log($volume+1), 10)",LiquidityTrading,alpha158_corr,pending_review,pending_review,existing_anchor_input_only_new_arm_pending,pending_direction_and_group_review,not_imported_from_primary_outcomes_pending_external_definition_review,window_10,ratio_or_normalized_statistic,ratio_or_normalized_statistic,inherit_canonical_contract_per_factor_event_rule_pending_mapping,factor_universe_v2_lineage_accepted_semantics,none,True,,Qlib expression inventory; lag/operator identity retained,,,,,pending_not_a_pool,pending_not_a_pool,pending_not_a_pool,inventory_only_no_selection,2010-01-29..2023-12-29_existing_feature_only_summary,0.9778091169335347,0.9414894743349183,0.9789233272611727,0.9414894743349183,0.9907756546326187,0.9996265192002146,0.0,d9616667058381ef68dc,1b87df472e386a2274ae,a2d1a924f5fc0e215038,a57fc0dd3ede3a735bc9
alpha158_CORR20,alpha158,"Qlib Alpha158 expression: Corr($close, Log($volume+1), 20)",LiquidityTrading,alpha158_corr,pending_review,pending_review,existing_anchor_input_only_new_arm_pending,pending_direction_and_group_review,not_imported_from_primary_outcomes_pending_external_definition_review,window_20,ratio_or_normalized_statistic,ratio_or_normalized_statistic,inherit_canonical_contract_per_factor_event_rule_pending_mapping,factor_universe_v2_lineage_accepted_semantics,none,True,,Qlib expression inventory; lag/operator identity retained,,,,,pending_not_a_pool,pending_not_a_pool,pending_not_a_pool,inventory_only_no_selection,2010-01-29..2023-12-29_existing_feature_only_summary,0.983487059170769,0.9554301147614777,0.9851187871941933,0.9554301147614777,0.99278463992723,0.9998631258210732,0.0,0b4afbeca84160affc0b,ce1953d5155d1b3d4166,dd3a084657f04673ea64,7d8f646bd55a94c7526f
alpha158_CORR30,alpha158,"Qlib Alpha158 expression: Corr($close, Log($volume+1), 30)",LiquidityTrading,alpha158_corr,pending_review,pending_review,existing_anchor_input_only_new_arm_pending,pending_direction_and_group_review,not_imported_from_primary_outcomes_pending_external_definition_review,window_30,ratio_or_normalized_statistic,ratio_or_normalized_statistic,inherit_canonical_contract_per_factor_event_rule_pending_mapping,factor_universe_v2_lineage_accepted_semantics,none,True,,Qlib expression inventory; lag/operator identity retained,,,,,pending_not_a_pool,pending_not_a_pool,pending_not_a_pool,inventory_only_no_selection,2010-01-29..2023-12-29_existing_feature_only_summary,0.9876661933165778,0.965998471304166,0.9895544695786521,0.965998471304166,0.9942586720970231,0.9999257165260095,0.0,0b4afbeca84160affc0b,2857a87c99d5e649be37,818eff8fd93ce094e6a2,d2daa33daa1bae7ddcb8
alpha158_CORR5,alpha158,"Qlib Alpha158 expression: Corr($close, Log($volume+1), 5)",LiquidityTrading,alpha158_corr,pending_review,pending_review,existing_anchor_input_only_new_arm_pending,pending_direction_and_group_review,not_imported_from_primary_outcomes_pending_external_definition_review,window_5,ratio_or_normalized_statistic,ratio_or_normalized_statistic,inherit_canonical_contract_per_factor_event_rule_pending_mapping,factor_universe_v2_lineage_accepted_semantics,none,True,,Qlib expression inventory; lag/operator identity retained,,,,,pending_not_a_pool,pending_not_a_pool,pending_not_a_pool,inventory_only_no_selection,2010-01-29..2023-12-29_existing_feature_only_summary,0.9729283906147176,0.9302892841700746,0.9735083211580768,0.9302892841700746,0.9887762587666213,0.9990473832270667,0.0,ab1aa211315bbd8dbd8f,64ff92670d1fc7a450a0,957e44f0d279c7d75a9a,b702894686ea328a34dd
alpha158_CORR60,alpha158,"Qlib Alpha158 expression: Corr($close, Log($volume+1), 60)",LiquidityTrading,alpha158_corr,pending_review,pending_review,existing_anchor_input_only_new_arm_pending,pending_direction_and_group_review,not_imported_from_primary_outcomes_pending_external_definition_review,window_60,ratio_or_normalized_statistic,ratio_or_normalized_statistic,inherit_canonical_contract_per_factor_event_rule_pending_mapping,factor_universe_v2_lineage_accepted_semantics,none,True,,Qlib expression inventory; lag/operator identity retained,,,,,pending_not_a_pool,pending_not_a_pool,pending_not_a_pool,inventory_only_no_selection,2010-01-29..2023-12-29_existing_feature_only_summary,0.9965421851305829,0.9897622461309583,0.9976626159080001,0.9897622461309583,0.998165679297999,0.9999951853303896,0.0,1f29a4164dbaa92e277d,cfc2852027b8fa833e78,ac219d870aee34fcb105,d592ff8809b35ae23d92
alpha158_IMAX20,alpha158,"Qlib Alpha158 expression: IdxMax($high, 20)/20",RiskLottery,alpha158_imax,pending_review,pending_review,existing_anchor_input_only_new_arm_pending,pending_direction_and_group_review,not_imported_from_primary_outcomes_pending_external_definition_review,window_20,ratio_or_normalized_statistic,ratio_or_normalized_statistic,inherit_canonical_contract_per_factor_event_rule_pending_mapping,factor_universe_v2_lineage_accepted_semantics,none,True,,Qlib expression inventory; lag/operator identity retained,,,,,pending_not_a_pool,pending_not_a_pool,pending_not_a_pool,inventory_only_no_selection,2010-01-29..2023-12-29_existing_feature_only_summary,0.9842586750313601,0.9572716536212946,0.9859902792398397,0.9572716536212946,0.9930675280713399,0.9998927016486804,0.0,88dafc1e34f55dfda573,d051b694375e548a949d,6925bc5a09a02bded0f5,967539051fecb0a01e35
alpha158_IMAX30,alpha158,"Qlib Alpha158 expression: IdxMax($high, 30)/30",RiskLottery,alpha158_imax,pending_review,pending_review,existing_anchor_input_only_new_arm_pending,pending_direction_and_group_review,not_imported_from_primary_outcomes_pending_external_definition_review,window_30,ratio_or_normalized_statistic,ratio_or_normalized_statistic,inherit_canonical_contract_per_factor_event_rule_pending_mapping,factor_universe_v2_lineage_accepted_semantics,none,True,,Qlib expression inventory; lag/operator identity retained,,,,,pending_not_a_pool,pending_not_a_pool,pending_not_a_pool,inventory_only_no_selection,2010-01-29..2023-12-29_existing_feature_only_summary,0.9882554464123025,0.9674322213289271,0.9901767113637789,0.9674322213289271,0.9945121069961046,0.9999504776840064,0.0,b688a2e44a76ff1046be,5d0a2536eadffa31c504,a06b551e0969a2bf0981,4f8d55f9df820e7c7284
alpha158_IMAX60,alpha158,"Qlib Alpha158 expression: IdxMax($high, 60)/60",RiskLottery,alpha158_imax,pending_review,pending_review,existing_anchor_input_only_new_arm_pending,pending_direction_and_group_review,not_imported_from_primary_outcomes_pending_external_definition_review,window_60,ratio_or_normalized_statistic,ratio_or_normalized_statistic,inherit_canonical_contract_per_factor_event_rule_pending_mapping,factor_universe_v2_lineage_accepted_semantics,none,True,,Qlib expression inventory; lag/operator identity retained,,,,,pending_not_a_pool,pending_not_a_pool,pending_not_a_pool,inventory_only_no_selection,2010-01-29..2023-12-29_existing_feature_only_summary,0.9968463740529862,0.9905826052446972,0.9979268918934446,0.9905826052446972,0.9983122605639543,1.0,0.0,c3d8620de09032791bb7,0ea703d9c7528e585a4a,606f3f7b79b6888414b8,70dc3bf4c1a363dcbd44
alpha158_IMIN20,alpha158,"Qlib Alpha158 expression: IdxMin($low, 20)/20",RiskLottery,alpha158_imin,pending_review,pending_review,existing_anchor_input_only_new_arm_pending,pending_direction_and_group_review,not_imported_from_primary_outcomes_pending_external_definition_review,window_20,ratio_or_normalized_statistic,ratio_or_normalized_statistic,inherit_canonical_contract_per_factor_event_rule_pending_mapping,factor_universe_v2_lineage_accepted_semantics,none,True,,Qlib expression inventory; lag/operator identity retained,,,,,pending_not_a_pool,pending_not_a_pool,pending_not_a_pool,inventory_only_no_selection,2010-01-29..2023-12-29_existing_feature_only_summary,0.9842586750313601,0.9572716536212946,0.9859902792398397,0.9572716536212946,0.9930675280713399,0.9998927016486804,0.0,ed504586af73b9136812,4d038426683be578092e,a7fbb75b889b8efd2021,41eb086ec42546f58afa
alpha158_IMIN30,alpha158,"Qlib Alpha158 expression: IdxMin($low, 30)/30",RiskLottery,alpha158_imin,pending_review,pending_review,existing_anchor_input_only_new_arm_pending,pending_direction_and_group_review,not_imported_from_primary_outcomes_pending_external_definition_review,window_30,ratio_or_normalized_statistic,ratio_or_normalized_statistic,inherit_canonical_contract_per_factor_event_rule_pending_mapping,factor_universe_v2_lineage_accepted_semantics,none,True,,Qlib expression inventory; lag/operator identity retained,,,,,pending_not_a_pool,pending_not_a_pool,pending_not_a_pool,inventory_only_no_selection,2010-01-29..2023-12-29_existing_feature_only_summary,0.9882554464123025,0.9674322213289271,0.9901767113637789,0.9674322213289271,0.9945121069961046,0.9999504776840064,0.0,0d32654d4acac8673d96,6ecdf74759887a6c3d0c,687536b7e6b2f3329e2c,ce4411bf34c689130567
alpha158_IMIN60,alpha158,"Qlib Alpha158 expression: IdxMin($low, 60)/60",RiskLottery,alpha158_imin,pending_review,pending_review,existing_anchor_input_only_new_arm_pending,pending_direction_and_group_review,not_imported_from_primary_outcomes_pending_external_definition_review,window_60,ratio_or_normalized_statistic,ratio_or_normalized_statistic,inherit_canonical_contract_per_factor_event_rule_pending_mapping,factor_universe_v2_lineage_accepted_semantics,none,True,,Qlib expression inventory; lag/operator identity retained,,,,,pending_not_a_pool,pending_not_a_pool,pending_not_a_pool,inventory_only_no_selection,2010-01-29..2023-12-29_existing_feature_only_summary,0.9968463740529862,0.9905826052446972,0.9979268918934446,0.9905826052446972,0.9983122605639543,1.0,0.0,496b9558f6b15d4d6131,ca009d62ffb4e38d4f51,7c87da6c37f06abd362a,b067806ca732b09822b3
alpha158_IMXD20,alpha158,"Qlib Alpha158 expression: (IdxMax($high, 20)-IdxMin($low, 20))/20",RiskLottery,alpha158_imxd,pending_review,pending_review,existing_anchor_input_only_new_arm_pending,pending_direction_and_group_review,not_imported_from_primary_outcomes_pending_external_definition_review,window_20,ratio_or_normalized_statistic,ratio_or_normalized_statistic,inherit_canonical_contract_per_factor_event_rule_pending_mapping,factor_universe_v2_lineage_accepted_semantics,none,True,,Qlib expression inventory; lag/operator identity retained,,,,,pending_not_a_pool,pending_not_a_pool,pending_not_a_pool,inventory_only_no_selection,2010-01-29..2023-12-29_existing_feature_only_summary,0.9842586750313601,0.9572716536212946,0.9859902792398397,0.9572716536212946,0.9930675280713399,0.9998927016486804,0.0,88dafc1e34f55dfda573,1c87baddb1ca72c9f1f5,c9661f47c4971f2f2fbf,283c0a8bed4026efdb61
alpha158_IMXD30,alpha158,"Qlib Alpha158 expression: (IdxMax($high, 30)-IdxMin($low, 30))/30",RiskLottery,alpha158_imxd,pending_review,pending_review,existing_anchor_input_only_new_arm_pending,pending_direction_and_group_review,not_imported_from_primary_outcomes_pending_external_definition_review,window_30,ratio_or_normalized_statistic,ratio_or_normalized_statistic,inherit_canonical_contract_per_factor_event_rule_pending_mapping,factor_universe_v2_lineage_accepted_semantics,none,True,,Qlib expression inventory; lag/operator identity retained,,,,,pending_not_a_pool,pending_not_a_pool,pending_not_a_pool,inventory_only_no_selection,2010-01-29..2023-12-29_existing_feature_only_summary,0.9882554464123025,0.9674322213289271,0.9901767113637789,0.9674322213289271,0.9945121069961046,0.9999504776840064,0.0,b688a2e44a76ff1046be,3947a64400c86cab4da5,ad0a840e4f9e0584489f,5c4871a5af3b1c69b752
alpha158_IMXD60,alpha158,"Qlib Alpha158 expression: (IdxMax($high, 60)-IdxMin($low, 60))/60",RiskLottery,alpha158_imxd,pending_review,pending_review,existing_anchor_input_only_new_arm_pending,pending_direction_and_group_review,not_imported_from_primary_outcomes_pending_external_definition_review,window_60,ratio_or_normalized_statistic,ratio_or_normalized_statistic,inherit_canonical_contract_per_factor_event_rule_pending_mapping,factor_universe_v2_lineage_accepted_semantics,none,True,,Qlib expression inventory; lag/operator identity retained,,,,,pending_not_a_pool,pending_not_a_pool,pending_not_a_pool,inventory_only_no_selection,2010-01-29..2023-12-29_existing_feature_only_summary,0.9968463740529862,0.9905826052446972,0.9979268918934446,0.9905826052446972,0.9983122605639543,1.0,0.0,c3d8620de09032791bb7,5bda4ea1edbf84b2c299,695e482b6e8b4adf0ec3,1cb5ae70952107981baf
alpha158_KLEN,alpha158,Qlib Alpha158 expression: ($high-$low)/$open,TradingBehavior,intraday_klen,pending_review,pending_review,existing_anchor_input_only_new_arm_pending,pending_direction_and_group_review,not_imported_from_primary_outcomes_pending_external_definition_review,same_day,ratio_or_normalized_statistic,ratio_or_normalized_statistic,inherit_canonical_contract_per_factor_event_rule_pending_mapping,factor_universe_v2_lineage_accepted_semantics,none,True,,Qlib expression inventory; lag/operator identity retained,,,,,pending_not_a_pool,pending_not_a_pool,pending_not_a_pool,inventory_only_no_selection,2010-01-29..2023-12-29_existing_feature_only_summary,0.9677067317610882,0.9234135682342743,0.9636439327448553,0.9234135682342743,0.9875693606796438,0.9986855951963354,0.0,ec24da66ac1559d1336f,92de1d9fafb10d19e62d,746cf6d53ce5701f6c91,c60d267958733d9341d3
alpha158_KLOW,alpha158,"Qlib Alpha158 expression: (Less($open, $close)-$low)/$open",TradingBehavior,intraday_klow,pending_review,pending_review,existing_anchor_input_only_new_arm_pending,pending_direction_and_group_review,not_imported_from_primary_outcomes_pending_external_definition_review,same_day,ratio_or_normalized_statistic,ratio_or_normalized_statistic,inherit_canonical_contract_per_factor_event_rule_pending_mapping,factor_universe_v2_lineage_accepted_semantics,none,True,,Qlib expression inventory; lag/operator identity retained,,,,,pending_not_a_pool,pending_not_a_pool,pending_not_a_pool,inventory_only_no_selection,2010-01-29..2023-12-29_existing_feature_only_summary,0.9677067317610882,0.9234135682342743,0.9636439327448553,0.9234135682342743,0.9875693606796438,0.9986855951963354,0.0,9df67f90fa34b907a6a3,85c3918a22d6e0e6b04f,a57b0dd3dd119034bd0c,d01d091f629f220567f7
alpha158_KUP,alpha158,"Qlib Alpha158 expression: ($high-Greater($open, $close))/$open",TradingBehavior,intraday_kup,pending_review,pending_review,existing_anchor_input_only_new_arm_pending,pending_direction_and_group_review,not_imported_from_primary_outcomes_pending_external_definition_review,same_day,ratio_or_normalized_statistic,ratio_or_normalized_statistic,inherit_canonical_contract_per_factor_event_rule_pending_mapping,factor_universe_v2_lineage_accepted_semantics,none,True,,Qlib expression inventory; lag/operator identity retained,,,,,pending_not_a_pool,pending_not_a_pool,pending_not_a_pool,inventory_only_no_selection,2010-01-29..2023-12-29_existing_feature_only_summary,0.9677067317610882,0.9234135682342743,0.9636439327448553,0.9234135682342743,0.9875693606796438,0.9986855951963354,0.0,28f83ec655f723919f67,b3733a70b7e7cecb1829,26d9a7d152ec948b54ee,4b1e4c10cd819ec38598
alpha158_LOW0,alpha158,Qlib Alpha158 expression: $low/$close,LiquidityTrading,alpha158_low,pending_review,pending_review,existing_anchor_input_only_new_arm_pending,pending_direction_and_group_review,not_imported_from_primary_outcomes_pending_external_definition_review,window_0,ratio_or_normalized_statistic,ratio_or_normalized_statistic,inherit_canonical_contract_per_factor_event_rule_pending_mapping,factor_universe_v2_lineage_accepted_semantics,none,True,,Qlib expression inventory; lag/operator identity retained,alpha158_LOW0,2010-01-29..2023-12-29 canonical key axis; not universal formula proof,,,pending_not_a_pool,pending_not_a_pool,pending_not_a_pool,inventory_only_no_selection,2010-01-29..2023-12-29_existing_feature_only_summary,0.9677067317610882,0.9234135682342743,0.9636439327448553,0.9234135682342743,0.9875693606796438,0.9986855951963354,0.0,ad1034067c984367899a,6e8b881c5b29083f2cd9,a2854e4f9bc320479b60,a7d29ec1593b64cb89bb
alpha158_MA10,alpha158,"Qlib Alpha158 expression: Mean($close, 10)/$close",RiskLottery,alpha158_ma,pending_review,pending_review,existing_anchor_input_only_new_arm_pending,pending_direction_and_group_review,not_imported_from_primary_outcomes_pending_external_definition_review,window_10,ratio_or_normalized_statistic,ratio_or_normalized_statistic,inherit_canonical_contract_per_factor_event_rule_pending_mapping,factor_universe_v2_lineage_accepted_semantics,none,True,,Qlib expression inventory; lag/operator identity retained,,,,,pending_not_a_pool,pending_not_a_pool,pending_not_a_pool,inventory_only_no_selection,2010-01-29..2023-12-29_existing_feature_only_summary,0.9677067317610882,0.9234135682342743,0.9636439327448553,0.9234135682342743,0.9875693606796438,0.9986855951963354,0.0,1e4d503306f15d3a7192,b855fce0089e165b279c,6b05b7d62e5cb0568aab,09b333d1eced136ffe86
