factor,source,economic_family,research_usable,block_reason,authoritative_semantics,primary_family,economic_subfamily,mechanism,intended_role,data_horizon,definition,active,review_status,numeric_verification
alpha158_CNTN10,alpha158,MomentumTrend,True,,factor_universe_v2_lineage_accepted_semantics,ReturnDynamics,TechnicalTrend,return_continuation,alpha_or_competing_hypothesis,daily_short_to_medium,"Qlib Alpha158 expression: Mean($close<Ref($close, 1), 10)",False,inherited_requires_reconciliation,not_yet_verified
alpha158_CNTN20,alpha158,MomentumTrend,True,,factor_universe_v2_lineage_accepted_semantics,ReturnDynamics,TechnicalTrend,return_continuation,alpha_or_competing_hypothesis,daily_short_to_medium,"Qlib Alpha158 expression: Mean($close<Ref($close, 1), 20)",False,inherited_requires_reconciliation,not_yet_verified
alpha158_CNTN30,alpha158,MomentumTrend,True,,factor_universe_v2_lineage_accepted_semantics,ReturnDynamics,TechnicalTrend,return_continuation,alpha_or_competing_hypothesis,daily_short_to_medium,"Qlib Alpha158 expression: Mean($close<Ref($close, 1), 30)",False,inherited_requires_reconciliation,not_yet_verified
alpha158_CNTN5,alpha158,MomentumTrend,True,,factor_universe_v2_lineage_accepted_semantics,ReturnDynamics,TechnicalTrend,return_continuation,alpha_or_competing_hypothesis,daily_short_to_medium,"Qlib Alpha158 expression: Mean($close<Ref($close, 1), 5)",False,inherited_requires_reconciliation,not_yet_verified
alpha158_CNTN60,alpha158,MomentumTrend,True,,factor_universe_v2_lineage_accepted_semantics,ReturnDynamics,TechnicalTrend,return_continuation,alpha_or_competing_hypothesis,daily_short_to_medium,"Qlib Alpha158 expression: Mean($close<Ref($close, 1), 60)",False,inherited_requires_reconciliation,not_yet_verified
alpha158_CNTP10,alpha158,MomentumTrend,True,,factor_universe_v2_lineage_accepted_semantics,ReturnDynamics,TechnicalTrend,return_continuation,alpha_or_competing_hypothesis,daily_short_to_medium,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 10)",False,inherited_requires_reconciliation,not_yet_verified
alpha158_CNTP20,alpha158,MomentumTrend,True,,factor_universe_v2_lineage_accepted_semantics,ReturnDynamics,TechnicalTrend,return_continuation,alpha_or_competing_hypothesis,daily_short_to_medium,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 20)",False,inherited_requires_reconciliation,not_yet_verified
alpha158_CNTP30,alpha158,MomentumTrend,True,,factor_universe_v2_lineage_accepted_semantics,ReturnDynamics,TechnicalTrend,return_continuation,alpha_or_competing_hypothesis,daily_short_to_medium,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 30)",True,inherited_requires_reconciliation,not_yet_verified
alpha158_CNTP5,alpha158,MomentumTrend,True,,factor_universe_v2_lineage_accepted_semantics,ReturnDynamics,TechnicalTrend,return_continuation,alpha_or_competing_hypothesis,daily_short_to_medium,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 5)",False,inherited_requires_reconciliation,not_yet_verified
alpha158_CNTP60,alpha158,MomentumTrend,True,,factor_universe_v2_lineage_accepted_semantics,ReturnDynamics,TechnicalTrend,return_continuation,alpha_or_competing_hypothesis,daily_short_to_medium,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 60)",False,inherited_requires_reconciliation,not_yet_verified
alpha158_CORD10,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 10)",True,inherited_requires_reconciliation,not_yet_verified
alpha158_CORD20,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 20)",True,inherited_requires_reconciliation,not_yet_verified
alpha158_CORD30,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 30)",True,inherited_requires_reconciliation,not_yet_verified
alpha158_CORD5,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 5)",True,inherited_requires_reconciliation,not_yet_verified
alpha158_CORD60,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 60)",True,inherited_requires_reconciliation,not_yet_verified
alpha158_CORR10,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Corr($close, Log($volume+1), 10)",True,inherited_requires_reconciliation,not_yet_verified
alpha158_CORR20,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Corr($close, Log($volume+1), 20)",True,inherited_requires_reconciliation,not_yet_verified
alpha158_CORR30,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Corr($close, Log($volume+1), 30)",True,inherited_requires_reconciliation,not_yet_verified
alpha158_CORR5,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Corr($close, Log($volume+1), 5)",True,inherited_requires_reconciliation,not_yet_verified
alpha158_CORR60,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Corr($close, Log($volume+1), 60)",True,inherited_requires_reconciliation,not_yet_verified
alpha158_HIGH0,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,Qlib Alpha158 expression: $high/$close,False,inherited_requires_reconciliation,not_yet_verified
alpha158_IMAX10,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,lottery_preference,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: IdxMax($high, 10)/10",False,inherited_requires_reconciliation,not_yet_verified
alpha158_IMAX20,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,lottery_preference,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: IdxMax($high, 20)/20",True,inherited_requires_reconciliation,not_yet_verified
alpha158_IMAX30,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,lottery_preference,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: IdxMax($high, 30)/30",True,inherited_requires_reconciliation,not_yet_verified
alpha158_IMAX5,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,lottery_preference,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: IdxMax($high, 5)/5",False,inherited_requires_reconciliation,not_yet_verified
alpha158_IMAX60,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,lottery_preference,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: IdxMax($high, 60)/60",True,inherited_requires_reconciliation,not_yet_verified
alpha158_IMIN10,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: IdxMin($low, 10)/10",False,inherited_requires_reconciliation,not_yet_verified
alpha158_IMIN20,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: IdxMin($low, 20)/20",True,inherited_requires_reconciliation,not_yet_verified
alpha158_IMIN30,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: IdxMin($low, 30)/30",True,inherited_requires_reconciliation,not_yet_verified
alpha158_IMIN5,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: IdxMin($low, 5)/5",False,inherited_requires_reconciliation,not_yet_verified
alpha158_IMIN60,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: IdxMin($low, 60)/60",True,inherited_requires_reconciliation,not_yet_verified
alpha158_IMXD10,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,lottery_preference,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: (IdxMax($high, 10)-IdxMin($low, 10))/10",False,inherited_requires_reconciliation,not_yet_verified
alpha158_IMXD20,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,lottery_preference,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: (IdxMax($high, 20)-IdxMin($low, 20))/20",True,inherited_requires_reconciliation,not_yet_verified
alpha158_IMXD30,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,lottery_preference,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: (IdxMax($high, 30)-IdxMin($low, 30))/30",True,inherited_requires_reconciliation,not_yet_verified
alpha158_IMXD5,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,lottery_preference,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: (IdxMax($high, 5)-IdxMin($low, 5))/5",False,inherited_requires_reconciliation,not_yet_verified
alpha158_IMXD60,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,lottery_preference,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: (IdxMax($high, 60)-IdxMin($low, 60))/60",True,inherited_requires_reconciliation,not_yet_verified
alpha158_KLEN,alpha158,TradingBehavior,True,,factor_universe_v2_lineage_accepted_semantics,TradingBehavior,PriceVolumeOrKbar,trading_activity_or_attention,alpha_or_conditioning,daily_short_to_medium,Qlib Alpha158 expression: ($high-$low)/$open,True,inherited_requires_reconciliation,not_yet_verified
alpha158_KLOW,alpha158,TradingBehavior,True,,factor_universe_v2_lineage_accepted_semantics,TradingBehavior,PriceVolumeOrKbar,trading_activity_or_attention,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: (Less($open, $close)-$low)/$open",True,inherited_requires_reconciliation,not_yet_verified
alpha158_KLOW2,alpha158,TradingBehavior,True,,factor_universe_v2_lineage_accepted_semantics,TradingBehavior,PriceVolumeOrKbar,trading_activity_or_attention,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: (Less($open, $close)-$low)/($high-$low+1e-12)",False,inherited_requires_reconciliation,not_yet_verified
alpha158_KMID,alpha158,TradingBehavior,True,,factor_universe_v2_lineage_accepted_semantics,TradingBehavior,PriceVolumeOrKbar,trading_activity_or_attention,alpha_or_conditioning,daily_short_to_medium,Qlib Alpha158 expression: ($close-$open)/$open,False,inherited_requires_reconciliation,not_yet_verified
alpha158_KMID2,alpha158,TradingBehavior,True,,factor_universe_v2_lineage_accepted_semantics,TradingBehavior,PriceVolumeOrKbar,trading_activity_or_attention,alpha_or_conditioning,daily_short_to_medium,Qlib Alpha158 expression: ($close-$open)/($high-$low+1e-12),False,inherited_requires_reconciliation,not_yet_verified
alpha158_KSFT,alpha158,TradingBehavior,True,,factor_universe_v2_lineage_accepted_semantics,TradingBehavior,PriceVolumeOrKbar,trading_activity_or_attention,alpha_or_conditioning,daily_short_to_medium,Qlib Alpha158 expression: (2*$close-$high-$low)/$open,False,inherited_requires_reconciliation,not_yet_verified
alpha158_KSFT2,alpha158,TradingBehavior,True,,factor_universe_v2_lineage_accepted_semantics,TradingBehavior,PriceVolumeOrKbar,trading_activity_or_attention,alpha_or_conditioning,daily_short_to_medium,Qlib Alpha158 expression: (2*$close-$high-$low)/($high-$low+1e-12),False,inherited_requires_reconciliation,not_yet_verified
alpha158_KUP,alpha158,TradingBehavior,True,,factor_universe_v2_lineage_accepted_semantics,TradingBehavior,PriceVolumeOrKbar,trading_activity_or_attention,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: ($high-Greater($open, $close))/$open",True,inherited_requires_reconciliation,not_yet_verified
alpha158_KUP2,alpha158,TradingBehavior,True,,factor_universe_v2_lineage_accepted_semantics,TradingBehavior,PriceVolumeOrKbar,trading_activity_or_attention,alpha_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: ($high-Greater($open, $close))/($high-$low+1e-12)",False,inherited_requires_reconciliation,not_yet_verified
alpha158_LOW0,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,Qlib Alpha158 expression: $low/$close,True,inherited_requires_reconciliation,not_yet_verified
alpha158_MA10,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Mean($close, 10)/$close",True,inherited_requires_reconciliation,not_yet_verified
alpha158_MA20,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Mean($close, 20)/$close",True,inherited_requires_reconciliation,not_yet_verified
alpha158_MA30,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Mean($close, 30)/$close",True,inherited_requires_reconciliation,not_yet_verified
alpha158_MA5,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Mean($close, 5)/$close",True,inherited_requires_reconciliation,not_yet_verified
alpha158_MA60,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Mean($close, 60)/$close",True,inherited_requires_reconciliation,not_yet_verified
alpha158_MAX10,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,lottery_preference,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Max($high, 10)/$close",False,inherited_requires_reconciliation,not_yet_verified
alpha158_MAX20,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,lottery_preference,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Max($high, 20)/$close",False,inherited_requires_reconciliation,not_yet_verified
alpha158_MAX30,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,lottery_preference,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Max($high, 30)/$close",False,inherited_requires_reconciliation,not_yet_verified
alpha158_MAX5,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,lottery_preference,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Max($high, 5)/$close",True,inherited_requires_reconciliation,not_yet_verified
alpha158_MAX60,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,lottery_preference,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Max($high, 60)/$close",False,inherited_requires_reconciliation,not_yet_verified
alpha158_MIN10,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Min($low, 10)/$close",True,inherited_requires_reconciliation,not_yet_verified
alpha158_MIN20,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Min($low, 20)/$close",True,inherited_requires_reconciliation,not_yet_verified
alpha158_MIN30,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Min($low, 30)/$close",True,inherited_requires_reconciliation,not_yet_verified
alpha158_MIN5,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Min($low, 5)/$close",True,inherited_requires_reconciliation,not_yet_verified
alpha158_MIN60,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Min($low, 60)/$close",True,inherited_requires_reconciliation,not_yet_verified
alpha158_OPEN0,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,LiquidityTrading,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,daily_short_to_medium,Qlib Alpha158 expression: $open/$close,False,inherited_requires_reconciliation,not_yet_verified
alpha158_QTLD10,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Quantile($close, 10, 0.2)/$close",True,inherited_requires_reconciliation,not_yet_verified
alpha158_QTLD20,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Quantile($close, 20, 0.2)/$close",True,inherited_requires_reconciliation,not_yet_verified
alpha158_QTLD30,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Quantile($close, 30, 0.2)/$close",True,inherited_requires_reconciliation,not_yet_verified
alpha158_QTLD5,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Quantile($close, 5, 0.2)/$close",True,inherited_requires_reconciliation,not_yet_verified
alpha158_QTLD60,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Quantile($close, 60, 0.2)/$close",True,inherited_requires_reconciliation,not_yet_verified
alpha158_QTLU10,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Quantile($close, 10, 0.8)/$close",False,inherited_requires_reconciliation,not_yet_verified
alpha158_QTLU20,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Quantile($close, 20, 0.8)/$close",True,inherited_requires_reconciliation,not_yet_verified
alpha158_QTLU30,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Quantile($close, 30, 0.8)/$close",True,inherited_requires_reconciliation,not_yet_verified
alpha158_QTLU5,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Quantile($close, 5, 0.8)/$close",False,inherited_requires_reconciliation,not_yet_verified
alpha158_QTLU60,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Quantile($close, 60, 0.8)/$close",True,inherited_requires_reconciliation,not_yet_verified
alpha158_RANK10,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Rank($close, 10)",True,inherited_requires_reconciliation,not_yet_verified
alpha158_RANK20,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Rank($close, 20)",True,inherited_requires_reconciliation,not_yet_verified
alpha158_RANK30,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Rank($close, 30)",True,inherited_requires_reconciliation,not_yet_verified
alpha158_RANK5,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Rank($close, 5)",False,inherited_requires_reconciliation,not_yet_verified
alpha158_RANK60,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Rank($close, 60)",True,inherited_requires_reconciliation,not_yet_verified
alpha158_RESI10,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Resi($close, 10)/$close",False,inherited_requires_reconciliation,not_yet_verified
alpha158_RESI20,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Resi($close, 20)/$close",False,inherited_requires_reconciliation,not_yet_verified
