level,cluster_id,members,mechanisms,horizons,unresolved_members
0.7,e61e8bbb58b85dba1401,84,"[""historical_close_to_current_close_ratio"", ""historical_high_to_current_close_ratio"", ""historical_low_to_current_close_ratio"", ""historical_open_to_current_close_ratio"", ""historical_vwap_to_current_close_ratio"", ""return_continuation""]","[""lag_34"", ""lag_35"", ""lag_36"", ""lag_37"", ""lag_38"", ""lag_39"", ""lag_40"", ""lag_41"", ""lag_42"", ""lag_43"", ""lag_44"", ""lag_45"", ""lag_46"", ""lag_47"", ""lag_48"", ""lag_49"", ""unspecified""]",0
0.7,e78db82f934455b4d4fd,1,"[""within_day_price_formation""]","[""unspecified""]",1
0.7,e88b0b2e8560b3953d66,55,"[""alpha158_roc"", ""alpha158_sumd"", ""alpha158_sumn"", ""alpha158_sump"", ""historical_close_to_current_close_ratio"", ""historical_high_to_current_close_ratio"", ""historical_low_to_current_close_ratio"", ""historical_open_to_current_close_ratio"", ""historical_vwap_to_current_close_ratio"", ""normalized_price_slope""]","[""lag_50"", ""lag_51"", ""lag_52"", ""lag_53"", ""lag_54"", ""lag_55"", ""lag_56"", ""lag_57"", ""lag_58"", ""lag_59"", ""window_60""]",0
0.7,eb39fdabbcbce4adc47b,2,"[""liquidity_or_speculative_activity"", ""within_day_price_formation""]","[""name_window_20"", ""unspecified""]",0
0.7,eb7fd8acd5dd7e59b452,2,"[""liquidity_or_speculative_activity""]","[""name_window_20""]",0
0.7,ec24da66ac1559d1336f,1,"[""intraday_klen""]","[""same_day""]",0
0.7,ed238e002c5beff52395,2,"[""alpha158_min""]","[""window_10"", ""window_5""]",0
0.7,ed504586af73b9136812,1,"[""alpha158_imin""]","[""window_20""]",0
0.7,efee6ca6a996a2e9c410,22,"[""liquidity_or_speculative_activity"", ""mixed_formula_information"", ""price_anchor"", ""realized_or_residual_risk"", ""return_continuation"", ""within_day_price_formation""]","[""unspecified""]",4
0.7,f22f88eafce32e494f2e,1,"[""mixed_formula_information""]","[""unspecified""]",1
0.7,f4e137554b107f04c14c,1,"[""mixed_formula_information""]","[""unspecified""]",1
0.7,f894f72ff462e07b1347,1,"[""channel_breakout_event""]","[""unspecified""]",1
0.7,f8d122331fb4d300409a,2,"[""Valuation ratios proxy a common cheapness dimension while earnings, book, sales, cash flow and distributions retain different accounting sensitivities.""]","[""unspecified""]",0
0.7,fa937901a22cc797a2ac,1,"[""return_continuation""]","[""unspecified""]",0
0.7,fbcfce924ce2b3e665d6,13,"[""alpha158_roc"", ""historical_close_to_current_close_ratio"", ""historical_high_to_current_close_ratio"", ""historical_low_to_current_close_ratio"", ""historical_open_to_current_close_ratio"", ""historical_vwap_to_current_close_ratio"", ""mixed_formula_information"", ""normalized_price_slope"", ""return_continuation"", ""short_horizon_overreaction""]","[""lag_3"", ""lag_4"", ""lag_5"", ""name_window_5"", ""unspecified"", ""window_5""]",1
0.85,04bb0bb1b47e9d933fe1,1,"[""return_continuation""]","[""unspecified""]",0
0.85,05a5e07ccb42b446712c,1,"[""return_continuation""]","[""unspecified""]",1
0.85,088ee2aa453ebc20cda6,1,"[""mixed_formula_information""]","[""unspecified""]",1
0.85,0c2f61077a39a0d119cb,1,"[""mixed_formula_information""]","[""unspecified""]",1
0.85,0ea703d9c7528e585a4a,1,"[""alpha158_imax""]","[""window_60""]",0
0.85,0ea75c2af358cad5a82c,1,"[""alpha158_min""]","[""window_10""]",0
0.85,0f2d2c1c659e838d03e9,1,"[""mixed_formula_information""]","[""unspecified""]",1
0.85,0f34420bf6deb7a69f7c,40,"[""historical_close_to_current_close_ratio"", ""historical_high_to_current_close_ratio"", ""historical_low_to_current_close_ratio"", ""historical_open_to_current_close_ratio"", ""historical_vwap_to_current_close_ratio""]","[""lag_42"", ""lag_43"", ""lag_44"", ""lag_45"", ""lag_46"", ""lag_47"", ""lag_48"", ""lag_49""]",0
0.85,10ab03ef9cf7699ad71e,7,"[""alpha158_roc"", ""historical_close_to_current_close_ratio"", ""historical_high_to_current_close_ratio"", ""historical_open_to_current_close_ratio"", ""historical_vwap_to_current_close_ratio"", ""return_continuation"", ""short_horizon_overreaction""]","[""lag_4"", ""lag_5"", ""name_window_5"", ""window_5""]",0
0.85,11d5ba29f76765ccf8f5,2,"[""mixed_formula_information"", ""within_day_price_formation""]","[""unspecified""]",2
0.85,132e383a3c692ba1089e,1,"[""alpha158_cord""]","[""window_30""]",0
0.85,13d23ecc45a37049b2e6,3,"[""alpha158_vsumd"", ""alpha158_vsumn"", ""alpha158_vsump""]","[""window_30""]",0
0.85,15ab88f85c5d919cc327,1,"[""alpha158_std""]","[""window_10""]",0
0.85,18049a99624b8600fa68,1,"[""mixed_formula_information""]","[""unspecified""]",1
0.85,1a56020529c6d64d6b19,1,"[""within_day_price_formation""]","[""name_window_20""]",0
0.85,1b87df472e386a2274ae,1,"[""alpha158_corr""]","[""window_10""]",0
0.85,1c87baddb1ca72c9f1f5,1,"[""alpha158_imxd""]","[""window_20""]",0
0.85,2053539fc90ad09b7b4a,1,"[""Price impact per traded currency unit measures costly immediacy and possible illiquidity compensation.""]","[""name_window_20""]",0
0.85,20e222bac9c9d8a31ddd,1,"[""return_continuation""]","[""unspecified""]",0
0.85,2166aa8a701058a0e676,1,"[""mixed_formula_information""]","[""unspecified""]",1
0.85,2459ae027bbeb4794e4e,1,"[""lottery_preference""]","[""name_window_60""]",0
0.85,26b702c5f914f1192a09,3,"[""return_continuation""]","[""unspecified""]",0
0.85,2857a87c99d5e649be37,1,"[""alpha158_corr""]","[""window_30""]",0
0.85,2abf9b23f15ee1b48ab9,1,"[""Low total and residual risk, low extreme positive payoff and shallow drawdown capture defensive, lottery-preference and limits-to-arbitrage channels.""]","[""name_window_60""]",0
0.85,2cd8ec2f71b681c8a2d8,4,"[""alpha158_ma"", ""alpha158_qtlu"", ""alpha158_rank"", ""alpha158_rsv""]","[""window_60""]",0
0.85,2cf2e4c7943d89b5b2db,4,"[""alpha158_ma"", ""alpha158_qtld"", ""historical_low_to_current_close_ratio"", ""historical_vwap_to_current_close_ratio""]","[""lag_3"", ""window_5""]",0
0.85,2d5ace017a64dafb19fc,2,"[""return_continuation""]","[""unspecified""]",0
0.85,2dbd2f1072dd16970ce5,2,"[""mixed_formula_information"", ""within_day_price_formation""]","[""unspecified""]",2
0.85,2e80607f11ab659a8b88,2,"[""return_continuation""]","[""unspecified""]",0
0.85,2f04615f80fcda08db78,1,"[""return_continuation""]","[""unspecified""]",0
0.85,31131cd63637fe2141e3,3,"[""historical_close_to_current_close_ratio"", ""historical_low_to_current_close_ratio"", ""historical_open_to_current_close_ratio""]","[""lag_2"", ""lag_3""]",0
0.85,3264e4bdfea99cf9e3e7,21,"[""liquidity_or_speculative_activity"", ""mixed_formula_information"", ""price_anchor"", ""realized_or_residual_risk"", ""return_continuation""]","[""unspecified""]",3
0.85,333854b667bd90f28686,2,"[""alpha158_qtld""]","[""window_20"", ""window_30""]",0
0.85,34f23fccb4dbd1fe28cb,10,"[""historical_close_to_current_close_ratio"", ""historical_high_to_current_close_ratio"", ""historical_low_to_current_close_ratio"", ""historical_open_to_current_close_ratio"", ""historical_vwap_to_current_close_ratio""]","[""lag_15"", ""lag_16""]",0
0.85,35dc446b1a90ac517df3,2,"[""alpha158_cntd"", ""alpha158_cntp""]","[""window_30""]",0
0.85,37dd125492439f052e5d,1,"[""return_continuation""]","[""unspecified""]",0
0.85,3859a9b13ef5e5156f66,1,"[""mixed_formula_information""]","[""unspecified""]",1
0.85,3947a64400c86cab4da5,1,"[""alpha158_imxd""]","[""window_30""]",0
0.85,3c9d146255f1a20e730a,1,"[""realized_or_residual_risk""]","[""name_window_20""]",0
0.85,3d6c4f7613faeb6ae9df,1,"[""historical_low_to_current_close_ratio""]","[""lag_1""]",0
0.85,3fea0971bd24591c59a3,1,"[""mixed_formula_information""]","[""unspecified""]",1
0.85,45bcdb395f43240d95fc,1,"[""return_continuation""]","[""unspecified""]",0
0.85,49c8a41e8afed3ae75e4,4,"[""alpha158_rank"", ""realized_or_residual_risk"", ""return_continuation""]","[""unspecified"", ""window_20"", ""window_30""]",0
0.85,4c1c08d3dcfc0ff40558,40,"[""historical_close_to_current_close_ratio"", ""historical_high_to_current_close_ratio"", ""historical_low_to_current_close_ratio"", ""historical_open_to_current_close_ratio"", ""historical_vwap_to_current_close_ratio""]","[""lag_34"", ""lag_35"", ""lag_36"", ""lag_37"", ""lag_38"", ""lag_39"", ""lag_40"", ""lag_41""]",0
0.85,4d038426683be578092e,1,"[""alpha158_imin""]","[""window_20""]",0
0.85,4e7dab8c1e04ddf597a2,1,"[""Valuation ratios proxy a common cheapness dimension while earnings, book, sales, cash flow and distributions retain different accounting sensitivities.""]","[""unspecified""]",0
0.85,50eec6d2709cbfe99824,1,"[""realized_or_residual_risk""]","[""unspecified""]",0
0.85,51aae1f3d735c9419f3b,1,"[""mixed_formula_information""]","[""unspecified""]",1
0.85,51eebe34ff4681e7a9d7,7,"[""historical_close_to_current_close_ratio"", ""historical_high_to_current_close_ratio"", ""historical_low_to_current_close_ratio"", ""historical_open_to_current_close_ratio"", ""historical_vwap_to_current_close_ratio""]","[""lag_5"", ""lag_6""]",0
0.85,53a96f21bf2a26604ddc,3,"[""alpha158_vsumd"", ""alpha158_vsumn"", ""alpha158_vsump""]","[""window_60""]",0
0.85,55b3cca360caca79cb38,1,"[""mixed_formula_information""]","[""unspecified""]",1
0.85,5747fe37574b3e22e149,16,"[""alpha158_roc"", ""alpha158_sumd"", ""alpha158_sumn"", ""alpha158_sump"", ""historical_close_to_current_close_ratio"", ""historical_high_to_current_close_ratio"", ""historical_low_to_current_close_ratio"", ""historical_open_to_current_close_ratio"", ""historical_vwap_to_current_close_ratio""]","[""lag_57"", ""lag_58"", ""lag_59"", ""window_60""]",0
0.85,58e3632eb0bc9ea84af1,1,"[""within_day_price_formation""]","[""unspecified""]",1
0.85,5b8fc308d2e9977261c4,2,"[""Unusually intense or unstable trading can reflect attention and speculative overpricing under short-sale constraints."", ""liquidity_or_speculative_activity""]","[""name_window_20""]",0
0.85,5bda4ea1edbf84b2c299,1,"[""alpha158_imxd""]","[""window_60""]",0
0.85,5d0a2536eadffa31c504,1,"[""alpha158_imax""]","[""window_30""]",0
0.85,64ff92670d1fc7a450a0,1,"[""alpha158_corr""]","[""window_5""]",0
0.85,652d3278c0814e5e26ad,1,"[""mixed_formula_information""]","[""unspecified""]",1
0.85,65ee45bf83ffe981ce03,39,"[""historical_close_to_current_close_ratio"", ""historical_high_to_current_close_ratio"", ""historical_low_to_current_close_ratio"", ""historical_open_to_current_close_ratio"", ""historical_vwap_to_current_close_ratio"", ""normalized_price_slope""]","[""lag_50"", ""lag_51"", ""lag_52"", ""lag_53"", ""lag_54"", ""lag_55"", ""lag_56"", ""lag_57"", ""window_60""]",0
0.85,68130b84ceb34fcc5b4c,3,"[""alpha158_vsumd"", ""alpha158_vsumn"", ""alpha158_vsump""]","[""window_20""]",0
0.85,69c1b696c1fed3e685b3,10,"[""historical_close_to_current_close_ratio"", ""historical_high_to_current_close_ratio"", ""historical_low_to_current_close_ratio"", ""historical_open_to_current_close_ratio"", ""historical_vwap_to_current_close_ratio""]","[""lag_22"", ""lag_23""]",0
0.85,6d045d4a5a5a1e25a76d,1,"[""liquidity_or_speculative_activity""]","[""name_window_20""]",0
0.85,6d7e26d9fb12d6d1f05f,1,"[""Low total and residual risk, low extreme positive payoff and shallow drawdown capture defensive, lottery-preference and limits-to-arbitrage channels.""]","[""name_window_21""]",0
0.85,6e373ca8c4c51161c94a,2,"[""mixed_formula_information""]","[""unspecified""]",2
0.85,6e8b881c5b29083f2cd9,2,"[""alpha158_low"", ""historical_low_to_current_close_ratio""]","[""lag_0"", ""window_0""]",0
0.85,6ecdf74759887a6c3d0c,1,"[""alpha158_imin""]","[""window_30""]",0
0.85,73842c5f575b4db6651f,2,"[""return_continuation""]","[""unspecified""]",0
0.85,760344d19d910c88a231,3,"[""alpha158_ma"", ""alpha158_qtlu"", ""return_continuation""]","[""unspecified"", ""window_30""]",0
0.85,798363c80e47957ecb6e,1,"[""mixed_formula_information""]","[""unspecified""]",1
0.85,7ad7bdd9a681975845d4,34,"[""alpha158_roc"", ""alpha158_sumd"", ""alpha158_sumn"", ""alpha158_sump"", ""historical_close_to_current_close_ratio"", ""historical_high_to_current_close_ratio"", ""historical_low_to_current_close_ratio"", ""historical_open_to_current_close_ratio"", ""historical_vwap_to_current_close_ratio""]","[""lag_28"", ""lag_29"", ""lag_30"", ""lag_31"", ""lag_32"", ""lag_33"", ""window_30""]",0
0.85,802716de7f5d647f7782,5,"[""historical_close_to_current_close_ratio"", ""historical_high_to_current_close_ratio"", ""historical_low_to_current_close_ratio"", ""historical_open_to_current_close_ratio"", ""historical_vwap_to_current_close_ratio""]","[""lag_7""]",0
0.85,8177082aee57c085c90f,1,"[""return_continuation""]","[""unspecified""]",0
0.85,829505393e3921348650,1,"[""mixed_formula_information""]","[""unspecified""]",1
0.85,82dcac43bacce3fc3661,1,"[""return_continuation""]","[""unspecified""]",0
0.85,85c3918a22d6e0e6b04f,1,"[""intraday_klow""]","[""same_day""]",0
0.85,87c29bb2c96acbf308ec,1,"[""alpha158_resi""]","[""window_60""]",0
0.85,8b9c10f1738d819a3a5c,21,"[""historical_close_to_current_close_ratio"", ""historical_high_to_current_close_ratio"", ""historical_low_to_current_close_ratio"", ""historical_open_to_current_close_ratio"", ""historical_vwap_to_current_close_ratio"", ""normalized_price_slope""]","[""lag_24"", ""lag_25"", ""lag_26"", ""lag_27"", ""window_30""]",0
0.85,8ccde5fb72eecef5052d,1,"[""mixed_formula_information""]","[""unspecified""]",1
0.85,8d110530703aea79c47f,3,"[""realized_or_residual_risk""]","[""name_window_20"", ""unspecified""]",0
0.85,8e056b8e792abdcbc303,1,"[""alpha158_cord""]","[""window_10""]",0
0.85,905f9b38c98ec0289930,1,"[""liquidity_or_speculative_activity""]","[""unspecified""]",0
0.85,925df0f0e6025cbe8c08,2,"[""Valuation ratios proxy a common cheapness dimension while earnings, book, sales, cash flow and distributions retain different accounting sensitivities.""]","[""unspecified""]",0
0.85,928e1187c1f60f1539a1,1,"[""mixed_formula_information""]","[""unspecified""]",1
0.85,92de1d9fafb10d19e62d,1,"[""intraday_klen""]","[""same_day""]",0
0.85,99abecbf5573d836c0b3,10,"[""historical_close_to_current_close_ratio"", ""historical_high_to_current_close_ratio"", ""historical_low_to_current_close_ratio"", ""historical_open_to_current_close_ratio"", ""historical_vwap_to_current_close_ratio""]","[""lag_13"", ""lag_14""]",0
0.85,9b1b698befa55b67587a,1,"[""mixed_formula_information""]","[""unspecified""]",1
0.85,9bd859cd4f410c55cb68,1,"[""alpha158_min""]","[""window_5""]",0
0.85,9c8ea301d328a2cd7d32,5,"[""historical_close_to_current_close_ratio"", ""historical_low_to_current_close_ratio"", ""historical_open_to_current_close_ratio"", ""historical_vwap_to_current_close_ratio"", ""normalized_price_slope""]","[""lag_3"", ""lag_4"", ""window_5""]",0
0.85,9cc5eb2d4a7f36654fa4,1,"[""mixed_formula_information""]","[""unspecified""]",1
0.85,9cd7b139f95035d8e150,2,"[""liquidity_or_speculative_activity""]","[""name_window_20""]",0
0.85,9e11780a6380bc9e2907,1,"[""return_continuation""]","[""unspecified""]",0
0.85,9e359c111ed97df2f5b9,3,"[""alpha158_rsv"", ""realized_or_residual_risk""]","[""unspecified"", ""window_20"", ""window_30""]",0
0.85,9e80a35d40a36195ce83,1,"[""mixed_formula_information""]","[""unspecified""]",1
0.85,a0bd5f69ec2dc4510cbc,2,"[""Low total and residual risk, low extreme positive payoff and shallow drawdown capture defensive, lottery-preference and limits-to-arbitrage channels.""]","[""name_window_60""]",0
0.85,a545df54283b7b075786,1,"[""mixed_formula_information""]","[""unspecified""]",1
0.85,acac013a5a2e88814f49,2,"[""alpha158_min""]","[""window_20"", ""window_30""]",0
0.85,af3edcd28e343b4afd92,1,"[""realized_or_residual_risk""]","[""unspecified""]",0
0.85,b0c74239f353ee5ed5bb,1,"[""alpha158_std""]","[""window_5""]",0
0.85,b3733a70b7e7cecb1829,1,"[""intraday_kup""]","[""same_day""]",0
0.85,b855fce0089e165b279c,3,"[""alpha158_ma"", ""alpha158_qtld"", ""alpha158_rank""]","[""window_10""]",0
0.85,b980b27129a2ddcd1297,1,"[""liquidity_or_speculative_activity""]","[""unspecified""]",0
0.85,bb481ade170e7b1644f5,2,"[""return_continuation""]","[""unspecified""]",0
0.85,bcd4ae7bacdde4eb3250,2,"[""Valuation ratios proxy a common cheapness dimension while earnings, book, sales, cash flow and distributions retain different accounting sensitivities.""]","[""unspecified""]",0
0.85,c398c20da83e349dc94a,15,"[""alpha158_roc"", ""alpha158_sumd"", ""alpha158_sumn"", ""alpha158_sump"", ""historical_close_to_current_close_ratio"", ""historical_high_to_current_close_ratio"", ""historical_low_to_current_close_ratio"", ""historical_open_to_current_close_ratio"", ""historical_vwap_to_current_close_ratio"", ""return_continuation""]","[""lag_10"", ""lag_9"", ""name_window_10"", ""window_10""]",0
0.85,c4dbe0246bbbd990fe3d,1,"[""channel_breakout_event""]","[""unspecified""]",1
0.85,ca009d62ffb4e38d4f51,1,"[""alpha158_imin""]","[""window_60""]",0
0.85,ce1953d5155d1b3d4166,1,"[""alpha158_corr""]","[""window_20""]",0
0.85,ce29dc1c621b9fb31c07,1,"[""alpha158_cord""]","[""window_20""]",0
0.85,cfc2852027b8fa833e78,1,"[""alpha158_corr""]","[""window_60""]",0
0.85,d051b694375e548a949d,1,"[""alpha158_imax""]","[""window_20""]",0
