factor_name,catalog_name,category,expression,required_fields,missing_fields,field_status,source_project,source_file,source_function,source_commit,source_path
ROC5,alpha158_ROC5,rolling_price,"Ref($close, 5)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
ROC10,alpha158_ROC10,rolling_price,"Ref($close, 10)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
ROC20,alpha158_ROC20,rolling_price,"Ref($close, 20)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
ROC30,alpha158_ROC30,rolling_price,"Ref($close, 30)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
ROC60,alpha158_ROC60,rolling_price,"Ref($close, 60)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
MA5,alpha158_MA5,rolling_price,"Mean($close, 5)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
MA10,alpha158_MA10,rolling_price,"Mean($close, 10)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
MA20,alpha158_MA20,rolling_price,"Mean($close, 20)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
MA30,alpha158_MA30,rolling_price,"Mean($close, 30)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
MA60,alpha158_MA60,rolling_price,"Mean($close, 60)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
STD5,alpha158_STD5,rolling_price,"Std($close, 5)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
STD10,alpha158_STD10,rolling_price,"Std($close, 10)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
STD20,alpha158_STD20,rolling_price,"Std($close, 20)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
STD30,alpha158_STD30,rolling_price,"Std($close, 30)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
STD60,alpha158_STD60,rolling_price,"Std($close, 60)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
BETA5,alpha158_BETA5,rolling_price,"Slope($close, 5)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
BETA10,alpha158_BETA10,rolling_price,"Slope($close, 10)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
BETA20,alpha158_BETA20,rolling_price,"Slope($close, 20)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
BETA30,alpha158_BETA30,rolling_price,"Slope($close, 30)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
BETA60,alpha158_BETA60,rolling_price,"Slope($close, 60)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
RSQR5,alpha158_RSQR5,rolling_price,"Rsquare($close, 5)",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
RSQR10,alpha158_RSQR10,rolling_price,"Rsquare($close, 10)",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
RSQR20,alpha158_RSQR20,rolling_price,"Rsquare($close, 20)",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
RSQR30,alpha158_RSQR30,rolling_price,"Rsquare($close, 30)",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
RSQR60,alpha158_RSQR60,rolling_price,"Rsquare($close, 60)",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
RESI5,alpha158_RESI5,rolling_price,"Resi($close, 5)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
RESI10,alpha158_RESI10,rolling_price,"Resi($close, 10)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
RESI20,alpha158_RESI20,rolling_price,"Resi($close, 20)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
RESI30,alpha158_RESI30,rolling_price,"Resi($close, 30)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
RESI60,alpha158_RESI60,rolling_price,"Resi($close, 60)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
MAX5,alpha158_MAX5,rolling_price,"Max($high, 5)/$close","$close,$high",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
MAX10,alpha158_MAX10,rolling_price,"Max($high, 10)/$close","$close,$high",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
MAX20,alpha158_MAX20,rolling_price,"Max($high, 20)/$close","$close,$high",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
MAX30,alpha158_MAX30,rolling_price,"Max($high, 30)/$close","$close,$high",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
MAX60,alpha158_MAX60,rolling_price,"Max($high, 60)/$close","$close,$high",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
MIN5,alpha158_MIN5,rolling_price,"Min($low, 5)/$close","$close,$low",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
MIN10,alpha158_MIN10,rolling_price,"Min($low, 10)/$close","$close,$low",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
MIN20,alpha158_MIN20,rolling_price,"Min($low, 20)/$close","$close,$low",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
MIN30,alpha158_MIN30,rolling_price,"Min($low, 30)/$close","$close,$low",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
MIN60,alpha158_MIN60,rolling_price,"Min($low, 60)/$close","$close,$low",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
QTLU5,alpha158_QTLU5,rolling_price,"Quantile($close, 5, 0.8)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
QTLU10,alpha158_QTLU10,rolling_price,"Quantile($close, 10, 0.8)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
QTLU20,alpha158_QTLU20,rolling_price,"Quantile($close, 20, 0.8)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
QTLU30,alpha158_QTLU30,rolling_price,"Quantile($close, 30, 0.8)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
QTLU60,alpha158_QTLU60,rolling_price,"Quantile($close, 60, 0.8)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
QTLD5,alpha158_QTLD5,rolling_price,"Quantile($close, 5, 0.2)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
QTLD10,alpha158_QTLD10,rolling_price,"Quantile($close, 10, 0.2)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
QTLD20,alpha158_QTLD20,rolling_price,"Quantile($close, 20, 0.2)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
QTLD30,alpha158_QTLD30,rolling_price,"Quantile($close, 30, 0.2)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
QTLD60,alpha158_QTLD60,rolling_price,"Quantile($close, 60, 0.2)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
RANK5,alpha158_RANK5,rolling_price,"Rank($close, 5)",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
RANK10,alpha158_RANK10,rolling_price,"Rank($close, 10)",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
RANK20,alpha158_RANK20,rolling_price,"Rank($close, 20)",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
RANK30,alpha158_RANK30,rolling_price,"Rank($close, 30)",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
RANK60,alpha158_RANK60,rolling_price,"Rank($close, 60)",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
RSV5,alpha158_RSV5,rolling_price,"($close-Min($low, 5))/(Max($high, 5)-Min($low, 5)+1e-12)","$close,$high,$low",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
RSV10,alpha158_RSV10,rolling_price,"($close-Min($low, 10))/(Max($high, 10)-Min($low, 10)+1e-12)","$close,$high,$low",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
RSV20,alpha158_RSV20,rolling_price,"($close-Min($low, 20))/(Max($high, 20)-Min($low, 20)+1e-12)","$close,$high,$low",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
RSV30,alpha158_RSV30,rolling_price,"($close-Min($low, 30))/(Max($high, 30)-Min($low, 30)+1e-12)","$close,$high,$low",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
RSV60,alpha158_RSV60,rolling_price,"($close-Min($low, 60))/(Max($high, 60)-Min($low, 60)+1e-12)","$close,$high,$low",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
IMAX5,alpha158_IMAX5,rolling_price,"IdxMax($high, 5)/5",$high,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
IMAX10,alpha158_IMAX10,rolling_price,"IdxMax($high, 10)/10",$high,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
IMAX20,alpha158_IMAX20,rolling_price,"IdxMax($high, 20)/20",$high,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
IMAX30,alpha158_IMAX30,rolling_price,"IdxMax($high, 30)/30",$high,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
IMAX60,alpha158_IMAX60,rolling_price,"IdxMax($high, 60)/60",$high,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
IMIN5,alpha158_IMIN5,rolling_price,"IdxMin($low, 5)/5",$low,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
IMIN10,alpha158_IMIN10,rolling_price,"IdxMin($low, 10)/10",$low,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
IMIN20,alpha158_IMIN20,rolling_price,"IdxMin($low, 20)/20",$low,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
IMIN30,alpha158_IMIN30,rolling_price,"IdxMin($low, 30)/30",$low,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
IMIN60,alpha158_IMIN60,rolling_price,"IdxMin($low, 60)/60",$low,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
IMXD5,alpha158_IMXD5,rolling_price,"(IdxMax($high, 5)-IdxMin($low, 5))/5","$high,$low",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
IMXD10,alpha158_IMXD10,rolling_price,"(IdxMax($high, 10)-IdxMin($low, 10))/10","$high,$low",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
IMXD20,alpha158_IMXD20,rolling_price,"(IdxMax($high, 20)-IdxMin($low, 20))/20","$high,$low",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
IMXD30,alpha158_IMXD30,rolling_price,"(IdxMax($high, 30)-IdxMin($low, 30))/30","$high,$low",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
IMXD60,alpha158_IMXD60,rolling_price,"(IdxMax($high, 60)-IdxMin($low, 60))/60","$high,$low",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CORR5,alpha158_CORR5,price_volume_correlation,"Corr($close, Log($volume+1), 5)","$close,$volume",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CORR10,alpha158_CORR10,price_volume_correlation,"Corr($close, Log($volume+1), 10)","$close,$volume",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CORR20,alpha158_CORR20,price_volume_correlation,"Corr($close, Log($volume+1), 20)","$close,$volume",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CORR30,alpha158_CORR30,price_volume_correlation,"Corr($close, Log($volume+1), 30)","$close,$volume",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CORR60,alpha158_CORR60,price_volume_correlation,"Corr($close, Log($volume+1), 60)","$close,$volume",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CORD5,alpha158_CORD5,price_volume_correlation,"Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 5)","$close,$volume",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CORD10,alpha158_CORD10,price_volume_correlation,"Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 10)","$close,$volume",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CORD20,alpha158_CORD20,price_volume_correlation,"Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 20)","$close,$volume",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CORD30,alpha158_CORD30,price_volume_correlation,"Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 30)","$close,$volume",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
