factor_name,catalog_name,family,lag,category,expression,required_fields,missing_fields,field_status,source_project,source_file,source_function,source_commit,source_path
CLOSE49,alpha360_CLOSE49,CLOSE,49,alpha360_close_window,"Ref($close, 49)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE48,alpha360_CLOSE48,CLOSE,48,alpha360_close_window,"Ref($close, 48)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE47,alpha360_CLOSE47,CLOSE,47,alpha360_close_window,"Ref($close, 47)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE46,alpha360_CLOSE46,CLOSE,46,alpha360_close_window,"Ref($close, 46)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE45,alpha360_CLOSE45,CLOSE,45,alpha360_close_window,"Ref($close, 45)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE44,alpha360_CLOSE44,CLOSE,44,alpha360_close_window,"Ref($close, 44)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE43,alpha360_CLOSE43,CLOSE,43,alpha360_close_window,"Ref($close, 43)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE42,alpha360_CLOSE42,CLOSE,42,alpha360_close_window,"Ref($close, 42)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE41,alpha360_CLOSE41,CLOSE,41,alpha360_close_window,"Ref($close, 41)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE40,alpha360_CLOSE40,CLOSE,40,alpha360_close_window,"Ref($close, 40)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE39,alpha360_CLOSE39,CLOSE,39,alpha360_close_window,"Ref($close, 39)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE38,alpha360_CLOSE38,CLOSE,38,alpha360_close_window,"Ref($close, 38)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE37,alpha360_CLOSE37,CLOSE,37,alpha360_close_window,"Ref($close, 37)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE36,alpha360_CLOSE36,CLOSE,36,alpha360_close_window,"Ref($close, 36)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE35,alpha360_CLOSE35,CLOSE,35,alpha360_close_window,"Ref($close, 35)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE34,alpha360_CLOSE34,CLOSE,34,alpha360_close_window,"Ref($close, 34)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE33,alpha360_CLOSE33,CLOSE,33,alpha360_close_window,"Ref($close, 33)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE32,alpha360_CLOSE32,CLOSE,32,alpha360_close_window,"Ref($close, 32)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE31,alpha360_CLOSE31,CLOSE,31,alpha360_close_window,"Ref($close, 31)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE30,alpha360_CLOSE30,CLOSE,30,alpha360_close_window,"Ref($close, 30)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE29,alpha360_CLOSE29,CLOSE,29,alpha360_close_window,"Ref($close, 29)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE28,alpha360_CLOSE28,CLOSE,28,alpha360_close_window,"Ref($close, 28)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE27,alpha360_CLOSE27,CLOSE,27,alpha360_close_window,"Ref($close, 27)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE26,alpha360_CLOSE26,CLOSE,26,alpha360_close_window,"Ref($close, 26)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE25,alpha360_CLOSE25,CLOSE,25,alpha360_close_window,"Ref($close, 25)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE24,alpha360_CLOSE24,CLOSE,24,alpha360_close_window,"Ref($close, 24)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE23,alpha360_CLOSE23,CLOSE,23,alpha360_close_window,"Ref($close, 23)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE22,alpha360_CLOSE22,CLOSE,22,alpha360_close_window,"Ref($close, 22)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE21,alpha360_CLOSE21,CLOSE,21,alpha360_close_window,"Ref($close, 21)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE20,alpha360_CLOSE20,CLOSE,20,alpha360_close_window,"Ref($close, 20)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE19,alpha360_CLOSE19,CLOSE,19,alpha360_close_window,"Ref($close, 19)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE18,alpha360_CLOSE18,CLOSE,18,alpha360_close_window,"Ref($close, 18)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE17,alpha360_CLOSE17,CLOSE,17,alpha360_close_window,"Ref($close, 17)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE16,alpha360_CLOSE16,CLOSE,16,alpha360_close_window,"Ref($close, 16)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE15,alpha360_CLOSE15,CLOSE,15,alpha360_close_window,"Ref($close, 15)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE14,alpha360_CLOSE14,CLOSE,14,alpha360_close_window,"Ref($close, 14)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE13,alpha360_CLOSE13,CLOSE,13,alpha360_close_window,"Ref($close, 13)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE12,alpha360_CLOSE12,CLOSE,12,alpha360_close_window,"Ref($close, 12)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE11,alpha360_CLOSE11,CLOSE,11,alpha360_close_window,"Ref($close, 11)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE10,alpha360_CLOSE10,CLOSE,10,alpha360_close_window,"Ref($close, 10)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE9,alpha360_CLOSE9,CLOSE,9,alpha360_close_window,"Ref($close, 9)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE8,alpha360_CLOSE8,CLOSE,8,alpha360_close_window,"Ref($close, 8)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE7,alpha360_CLOSE7,CLOSE,7,alpha360_close_window,"Ref($close, 7)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE6,alpha360_CLOSE6,CLOSE,6,alpha360_close_window,"Ref($close, 6)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE5,alpha360_CLOSE5,CLOSE,5,alpha360_close_window,"Ref($close, 5)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE4,alpha360_CLOSE4,CLOSE,4,alpha360_close_window,"Ref($close, 4)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE3,alpha360_CLOSE3,CLOSE,3,alpha360_close_window,"Ref($close, 3)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE2,alpha360_CLOSE2,CLOSE,2,alpha360_close_window,"Ref($close, 2)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE1,alpha360_CLOSE1,CLOSE,1,alpha360_close_window,"Ref($close, 1)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
CLOSE0,alpha360_CLOSE0,CLOSE,0,alpha360_close_window,$close/$close,$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
OPEN59,alpha360_OPEN59,OPEN,59,alpha360_open_window,"Ref($open, 59)/$close","$close,$open",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
OPEN58,alpha360_OPEN58,OPEN,58,alpha360_open_window,"Ref($open, 58)/$close","$close,$open",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
OPEN57,alpha360_OPEN57,OPEN,57,alpha360_open_window,"Ref($open, 57)/$close","$close,$open",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
OPEN56,alpha360_OPEN56,OPEN,56,alpha360_open_window,"Ref($open, 56)/$close","$close,$open",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
OPEN55,alpha360_OPEN55,OPEN,55,alpha360_open_window,"Ref($open, 55)/$close","$close,$open",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
OPEN54,alpha360_OPEN54,OPEN,54,alpha360_open_window,"Ref($open, 54)/$close","$close,$open",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
OPEN53,alpha360_OPEN53,OPEN,53,alpha360_open_window,"Ref($open, 53)/$close","$close,$open",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
OPEN52,alpha360_OPEN52,OPEN,52,alpha360_open_window,"Ref($open, 52)/$close","$close,$open",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
OPEN51,alpha360_OPEN51,OPEN,51,alpha360_open_window,"Ref($open, 51)/$close","$close,$open",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
OPEN50,alpha360_OPEN50,OPEN,50,alpha360_open_window,"Ref($open, 50)/$close","$close,$open",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
OPEN49,alpha360_OPEN49,OPEN,49,alpha360_open_window,"Ref($open, 49)/$close","$close,$open",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
OPEN48,alpha360_OPEN48,OPEN,48,alpha360_open_window,"Ref($open, 48)/$close","$close,$open",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
OPEN47,alpha360_OPEN47,OPEN,47,alpha360_open_window,"Ref($open, 47)/$close","$close,$open",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
OPEN46,alpha360_OPEN46,OPEN,46,alpha360_open_window,"Ref($open, 46)/$close","$close,$open",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
OPEN45,alpha360_OPEN45,OPEN,45,alpha360_open_window,"Ref($open, 45)/$close","$close,$open",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
OPEN44,alpha360_OPEN44,OPEN,44,alpha360_open_window,"Ref($open, 44)/$close","$close,$open",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
OPEN43,alpha360_OPEN43,OPEN,43,alpha360_open_window,"Ref($open, 43)/$close","$close,$open",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
OPEN42,alpha360_OPEN42,OPEN,42,alpha360_open_window,"Ref($open, 42)/$close","$close,$open",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
OPEN41,alpha360_OPEN41,OPEN,41,alpha360_open_window,"Ref($open, 41)/$close","$close,$open",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
OPEN40,alpha360_OPEN40,OPEN,40,alpha360_open_window,"Ref($open, 40)/$close","$close,$open",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
OPEN39,alpha360_OPEN39,OPEN,39,alpha360_open_window,"Ref($open, 39)/$close","$close,$open",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
OPEN38,alpha360_OPEN38,OPEN,38,alpha360_open_window,"Ref($open, 38)/$close","$close,$open",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
OPEN37,alpha360_OPEN37,OPEN,37,alpha360_open_window,"Ref($open, 37)/$close","$close,$open",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
OPEN36,alpha360_OPEN36,OPEN,36,alpha360_open_window,"Ref($open, 36)/$close","$close,$open",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
OPEN35,alpha360_OPEN35,OPEN,35,alpha360_open_window,"Ref($open, 35)/$close","$close,$open",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
OPEN34,alpha360_OPEN34,OPEN,34,alpha360_open_window,"Ref($open, 34)/$close","$close,$open",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
OPEN33,alpha360_OPEN33,OPEN,33,alpha360_open_window,"Ref($open, 33)/$close","$close,$open",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
OPEN32,alpha360_OPEN32,OPEN,32,alpha360_open_window,"Ref($open, 32)/$close","$close,$open",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
OPEN31,alpha360_OPEN31,OPEN,31,alpha360_open_window,"Ref($open, 31)/$close","$close,$open",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
OPEN30,alpha360_OPEN30,OPEN,30,alpha360_open_window,"Ref($open, 30)/$close","$close,$open",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
OPEN29,alpha360_OPEN29,OPEN,29,alpha360_open_window,"Ref($open, 29)/$close","$close,$open",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
OPEN28,alpha360_OPEN28,OPEN,28,alpha360_open_window,"Ref($open, 28)/$close","$close,$open",,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
