factor,decision,reason,alphalens_status,jqfactor_status,qlib_status
alpha360_CLOSE39,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE4,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE40,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE41,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE42,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE43,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE44,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE45,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE46,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE47,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE48,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE49,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE5,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE50,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE51,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE52,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE53,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE54,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE55,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE56,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE57,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE58,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE59,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE6,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE7,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE8,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_CLOSE9,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH0,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH1,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH10,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH11,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH12,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH13,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH14,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH15,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH16,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH17,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH18,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH19,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH2,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH20,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH21,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH22,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH23,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH24,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH25,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH26,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH27,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH28,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH29,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH3,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH30,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH31,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH32,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH33,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH34,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH35,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH36,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH37,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH38,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH39,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH4,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH40,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH41,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH42,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH43,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH44,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH45,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH46,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH47,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH48,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH49,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH5,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH50,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH51,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH52,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH53,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH54,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH55,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH56,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH57,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH58,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH59,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH6,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH7,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH8,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_HIGH9,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW0,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW1,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW10,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW11,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW12,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW13,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW14,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW15,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW16,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW17,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW18,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW19,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW2,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW20,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW21,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW22,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW23,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW24,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW25,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW26,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW27,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW28,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW29,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW3,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW30,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW31,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW32,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW33,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW34,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW35,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW36,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW37,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW38,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW39,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW4,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW40,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW41,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW42,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW43,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW44,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW45,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW46,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW47,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW48,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW49,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW5,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW50,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW51,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW52,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW53,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW54,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW55,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW56,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW57,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW58,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW59,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW6,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW7,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW8,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_LOW9,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN0,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN1,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN10,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN11,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN12,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN13,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN14,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN15,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN16,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN17,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN18,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN19,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN2,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN20,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN21,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN22,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN23,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN24,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN25,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN26,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN27,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN28,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN29,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN3,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN30,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN31,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN32,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN33,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN34,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN35,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN36,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN37,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN38,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN39,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN4,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN40,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN41,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN42,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN43,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN44,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN45,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN46,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN47,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN48,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN49,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN5,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN50,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN51,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN52,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN53,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN54,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN55,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN56,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN57,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN58,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN59,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN6,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN7,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN8,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_OPEN9,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME1,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME10,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME11,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME12,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME13,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME14,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME15,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME16,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME17,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME18,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME19,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME2,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME20,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME21,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME22,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME23,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME24,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME25,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME26,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME27,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME28,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME29,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME3,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME30,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME31,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME32,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME33,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME34,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME35,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME36,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME37,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME38,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME39,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME4,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME40,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME41,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME42,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME43,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME44,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME45,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME46,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME47,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME48,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME49,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME5,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME50,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME51,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME52,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME53,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME54,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME55,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME56,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME57,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME58,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME59,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME6,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME7,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME8,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VOLUME9,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP0,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP1,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP10,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP11,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP12,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP13,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP14,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP15,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP16,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP17,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP18,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP19,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP2,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP20,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP21,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP22,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP23,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP24,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP25,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP26,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP27,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP28,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP29,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP3,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP30,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP31,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP32,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP33,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP34,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP35,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP36,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP37,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP38,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP39,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP4,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP40,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP41,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP42,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP43,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
alpha360_VWAP44,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
