factor_name,factor_family,original_source,original_formula_or_definition,historical_status,implementation_quality,historical_missing_dependency,historical_reason,current_dependency_available,recoverable_now,recommended_action,notes
kunquant_alpha101_alpha042,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,active_v1_degraded,proxy_based,direct_provider_vwap,reference_class_derived_vwap_as_amount_div_volume_plus_epsilon,True,True,retain_proxy_and_add_canonical_vwap_v2,Separate annotation row for degraded implementation; may duplicate a holdout row.
kunquant_alpha101_alpha047,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,active_v1_degraded,proxy_based,direct_provider_vwap,reference_class_derived_vwap_as_amount_div_volume_plus_epsilon,True,True,retain_proxy_and_add_canonical_vwap_v2,Separate annotation row for degraded implementation; may duplicate a holdout row.
kunquant_alpha101_alpha050,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,active_v1_degraded,proxy_based,direct_provider_vwap,reference_class_derived_vwap_as_amount_div_volume_plus_epsilon,True,True,retain_proxy_and_add_canonical_vwap_v2,Separate annotation row for degraded implementation; may duplicate a holdout row.
kunquant_alpha101_alpha052,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,adapter_holdout,exact,valid_formula_output,zero_valid_rows,False,False,research_pending_formula_debug,
kunquant_alpha101_alpha057,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,active_v1_degraded,proxy_based,direct_provider_vwap,reference_class_derived_vwap_as_amount_div_volume_plus_epsilon,True,True,retain_proxy_and_add_canonical_vwap_v2,Separate annotation row for degraded implementation; may duplicate a holdout row.
kunquant_alpha101_alpha061,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,evaluation_holdout,proxy_based,none_current,alphalens_reloaded_not_run,True,True,recover_into_v2_without_alpha_performance_gate,
kunquant_alpha101_alpha061,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,recoverable_degraded_holdout,proxy_based,direct_provider_vwap,reference_class_derived_vwap_as_amount_div_volume_plus_epsilon,True,True,retain_proxy_and_add_canonical_vwap_v2,Separate annotation row for degraded implementation; may duplicate a holdout row.
kunquant_alpha101_alpha062,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,active_v1_degraded,proxy_based,direct_provider_vwap,reference_class_derived_vwap_as_amount_div_volume_plus_epsilon,True,True,retain_proxy_and_add_canonical_vwap_v2,Separate annotation row for degraded implementation; may duplicate a holdout row.
kunquant_alpha101_alpha064,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,active_v1_degraded,proxy_based,direct_provider_vwap,reference_class_derived_vwap_as_amount_div_volume_plus_epsilon,True,True,retain_proxy_and_add_canonical_vwap_v2,Separate annotation row for degraded implementation; may duplicate a holdout row.
kunquant_alpha101_alpha065,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,evaluation_holdout,proxy_based,none_current,alphalens_reloaded_partial:quantile_turnover,True,True,recover_into_v2_without_alpha_performance_gate,
kunquant_alpha101_alpha065,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,recoverable_degraded_holdout,proxy_based,direct_provider_vwap,reference_class_derived_vwap_as_amount_div_volume_plus_epsilon,True,True,retain_proxy_and_add_canonical_vwap_v2,Separate annotation row for degraded implementation; may duplicate a holdout row.
kunquant_alpha101_alpha066,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,active_v1_degraded,proxy_based,direct_provider_vwap,reference_class_derived_vwap_as_amount_div_volume_plus_epsilon,True,True,retain_proxy_and_add_canonical_vwap_v2,Separate annotation row for degraded implementation; may duplicate a holdout row.
kunquant_alpha101_alpha068,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,evaluation_holdout,exact,none_current,alphalens_reloaded_not_run,True,True,recover_into_v2_without_alpha_performance_gate,
kunquant_alpha101_alpha071,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,active_v1_degraded,proxy_based,direct_provider_vwap,reference_class_derived_vwap_as_amount_div_volume_plus_epsilon,True,True,retain_proxy_and_add_canonical_vwap_v2,Separate annotation row for degraded implementation; may duplicate a holdout row.
kunquant_alpha101_alpha072,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,active_v1_degraded,proxy_based,direct_provider_vwap,reference_class_derived_vwap_as_amount_div_volume_plus_epsilon,True,True,retain_proxy_and_add_canonical_vwap_v2,Separate annotation row for degraded implementation; may duplicate a holdout row.
kunquant_alpha101_alpha073,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,active_v1_degraded,proxy_based,direct_provider_vwap,reference_class_derived_vwap_as_amount_div_volume_plus_epsilon,True,True,retain_proxy_and_add_canonical_vwap_v2,Separate annotation row for degraded implementation; may duplicate a holdout row.
kunquant_alpha101_alpha074,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,active_v1_degraded,proxy_based,direct_provider_vwap,reference_class_derived_vwap_as_amount_div_volume_plus_epsilon,True,True,retain_proxy_and_add_canonical_vwap_v2,Separate annotation row for degraded implementation; may duplicate a holdout row.
kunquant_alpha101_alpha075,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,evaluation_holdout,proxy_based,none_current,alphalens_reloaded_partial:quantile_turnover,True,True,recover_into_v2_without_alpha_performance_gate,
kunquant_alpha101_alpha075,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,recoverable_degraded_holdout,proxy_based,direct_provider_vwap,reference_class_derived_vwap_as_amount_div_volume_plus_epsilon,True,True,retain_proxy_and_add_canonical_vwap_v2,Separate annotation row for degraded implementation; may duplicate a holdout row.
kunquant_alpha101_alpha077,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,active_v1_degraded,proxy_based,direct_provider_vwap,reference_class_derived_vwap_as_amount_div_volume_plus_epsilon,True,True,retain_proxy_and_add_canonical_vwap_v2,Separate annotation row for degraded implementation; may duplicate a holdout row.
kunquant_alpha101_alpha078,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,active_v1_degraded,proxy_based,direct_provider_vwap,reference_class_derived_vwap_as_amount_div_volume_plus_epsilon,True,True,retain_proxy_and_add_canonical_vwap_v2,Separate annotation row for degraded implementation; may duplicate a holdout row.
kunquant_alpha101_alpha081,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,evaluation_holdout,proxy_based,none_current,alphalens_reloaded_partial:quantile_turnover,True,True,recover_into_v2_without_alpha_performance_gate,
kunquant_alpha101_alpha081,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,recoverable_degraded_holdout,proxy_based,direct_provider_vwap,reference_class_derived_vwap_as_amount_div_volume_plus_epsilon,True,True,retain_proxy_and_add_canonical_vwap_v2,Separate annotation row for degraded implementation; may duplicate a holdout row.
kunquant_alpha101_alpha083,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,active_v1_degraded,proxy_based,direct_provider_vwap,reference_class_derived_vwap_as_amount_div_volume_plus_epsilon,True,True,retain_proxy_and_add_canonical_vwap_v2,Separate annotation row for degraded implementation; may duplicate a holdout row.
kunquant_alpha101_alpha084,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,active_v1_degraded,proxy_based,direct_provider_vwap,reference_class_derived_vwap_as_amount_div_volume_plus_epsilon,True,True,retain_proxy_and_add_canonical_vwap_v2,Separate annotation row for degraded implementation; may duplicate a holdout row.
kunquant_alpha101_alpha086,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,evaluation_holdout,proxy_based,none_current,alphalens_reloaded_not_run,True,True,recover_into_v2_without_alpha_performance_gate,
kunquant_alpha101_alpha086,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,recoverable_degraded_holdout,proxy_based,direct_provider_vwap,reference_class_derived_vwap_as_amount_div_volume_plus_epsilon,True,True,retain_proxy_and_add_canonical_vwap_v2,Separate annotation row for degraded implementation; may duplicate a holdout row.
kunquant_alpha101_alpha094,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,active_v1_degraded,proxy_based,direct_provider_vwap,reference_class_derived_vwap_as_amount_div_volume_plus_epsilon,True,True,retain_proxy_and_add_canonical_vwap_v2,Separate annotation row for degraded implementation; may duplicate a holdout row.
kunquant_alpha101_alpha096,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,active_v1_degraded,proxy_based,direct_provider_vwap,reference_class_derived_vwap_as_amount_div_volume_plus_epsilon,True,True,retain_proxy_and_add_canonical_vwap_v2,Separate annotation row for degraded implementation; may duplicate a holdout row.
kunquant_alpha101_alpha098,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,active_v1_degraded,proxy_based,direct_provider_vwap,reference_class_derived_vwap_as_amount_div_volume_plus_epsilon,True,True,retain_proxy_and_add_canonical_vwap_v2,Separate annotation row for degraded implementation; may duplicate a holdout row.
kunquant_alpha101_alpha099,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,evaluation_holdout,exact,none_current,alphalens_reloaded_partial:quantile_turnover,True,True,recover_into_v2_without_alpha_performance_gate,
worldquant_alpha101_alpha048,Alpha101,Alpha101,source_formula_not_present_in_local_reference,source_implementation_missing,not_implemented,audited_local_formula_source,KunQuant_all_alpha_does_not_contain_formula,False,False,defer_to_network_mature_factor_expansion,
worldquant_alpha101_alpha056,Alpha101,Alpha101,source_formula_not_present_in_local_reference,source_implementation_missing,not_implemented,audited_local_formula_source,KunQuant_all_alpha_does_not_contain_formula,False,False,defer_to_network_mature_factor_expansion,
worldquant_alpha101_alpha058,Alpha101,Alpha101,source_formula_not_present_in_local_reference,source_implementation_missing,not_implemented,audited_local_formula_source,KunQuant_all_alpha_does_not_contain_formula,False,False,defer_to_network_mature_factor_expansion,
worldquant_alpha101_alpha059,Alpha101,Alpha101,source_formula_not_present_in_local_reference,source_implementation_missing,not_implemented,audited_local_formula_source,KunQuant_all_alpha_does_not_contain_formula,False,False,defer_to_network_mature_factor_expansion,
worldquant_alpha101_alpha063,Alpha101,Alpha101,source_formula_not_present_in_local_reference,source_implementation_missing,not_implemented,audited_local_formula_source,KunQuant_all_alpha_does_not_contain_formula,False,False,defer_to_network_mature_factor_expansion,
worldquant_alpha101_alpha067,Alpha101,Alpha101,source_formula_not_present_in_local_reference,source_implementation_missing,not_implemented,audited_local_formula_source,KunQuant_all_alpha_does_not_contain_formula,False,False,defer_to_network_mature_factor_expansion,
worldquant_alpha101_alpha069,Alpha101,Alpha101,source_formula_not_present_in_local_reference,source_implementation_missing,not_implemented,audited_local_formula_source,KunQuant_all_alpha_does_not_contain_formula,False,False,defer_to_network_mature_factor_expansion,
worldquant_alpha101_alpha070,Alpha101,Alpha101,source_formula_not_present_in_local_reference,source_implementation_missing,not_implemented,audited_local_formula_source,KunQuant_all_alpha_does_not_contain_formula,False,False,defer_to_network_mature_factor_expansion,
worldquant_alpha101_alpha076,Alpha101,Alpha101,source_formula_not_present_in_local_reference,source_implementation_missing,not_implemented,audited_local_formula_source,KunQuant_all_alpha_does_not_contain_formula,False,False,defer_to_network_mature_factor_expansion,
worldquant_alpha101_alpha079,Alpha101,Alpha101,source_formula_not_present_in_local_reference,source_implementation_missing,not_implemented,audited_local_formula_source,KunQuant_all_alpha_does_not_contain_formula,False,False,defer_to_network_mature_factor_expansion,
worldquant_alpha101_alpha080,Alpha101,Alpha101,source_formula_not_present_in_local_reference,source_implementation_missing,not_implemented,audited_local_formula_source,KunQuant_all_alpha_does_not_contain_formula,False,False,defer_to_network_mature_factor_expansion,
worldquant_alpha101_alpha082,Alpha101,Alpha101,source_formula_not_present_in_local_reference,source_implementation_missing,not_implemented,audited_local_formula_source,KunQuant_all_alpha_does_not_contain_formula,False,False,defer_to_network_mature_factor_expansion,
worldquant_alpha101_alpha087,Alpha101,Alpha101,source_formula_not_present_in_local_reference,source_implementation_missing,not_implemented,audited_local_formula_source,KunQuant_all_alpha_does_not_contain_formula,False,False,defer_to_network_mature_factor_expansion,
worldquant_alpha101_alpha089,Alpha101,Alpha101,source_formula_not_present_in_local_reference,source_implementation_missing,not_implemented,audited_local_formula_source,KunQuant_all_alpha_does_not_contain_formula,False,False,defer_to_network_mature_factor_expansion,
worldquant_alpha101_alpha090,Alpha101,Alpha101,source_formula_not_present_in_local_reference,source_implementation_missing,not_implemented,audited_local_formula_source,KunQuant_all_alpha_does_not_contain_formula,False,False,defer_to_network_mature_factor_expansion,
worldquant_alpha101_alpha091,Alpha101,Alpha101,source_formula_not_present_in_local_reference,source_implementation_missing,not_implemented,audited_local_formula_source,KunQuant_all_alpha_does_not_contain_formula,False,False,defer_to_network_mature_factor_expansion,
worldquant_alpha101_alpha093,Alpha101,Alpha101,source_formula_not_present_in_local_reference,source_implementation_missing,not_implemented,audited_local_formula_source,KunQuant_all_alpha_does_not_contain_formula,False,False,defer_to_network_mature_factor_expansion,
worldquant_alpha101_alpha097,Alpha101,Alpha101,source_formula_not_present_in_local_reference,source_implementation_missing,not_implemented,audited_local_formula_source,KunQuant_all_alpha_does_not_contain_formula,False,False,defer_to_network_mature_factor_expansion,
worldquant_alpha101_alpha100,Alpha101,Alpha101,source_formula_not_present_in_local_reference,source_implementation_missing,not_implemented,audited_local_formula_source,KunQuant_all_alpha_does_not_contain_formula,False,False,defer_to_network_mature_factor_expansion,
alpha158_CNTN5,Alpha158,qlib_alpha158,"Mean($close<Ref($close, 1), 5)",evaluation_holdout,exact,none_current,old_alphalens_quantile_turnover_partial_pass,True,True,recover_into_v2_without_alpha_performance_gate,
alpha158_IMAX5,Alpha158,qlib_alpha158,"IdxMax($high, 5)/5",evaluation_holdout,exact,none_current,old_alphalens_quantile_turnover_partial_pass,True,True,recover_into_v2_without_alpha_performance_gate,
alpha158_RANK5,Alpha158,qlib_alpha158,"Rank($close, 5)",evaluation_holdout,exact,none_current,old_alphalens_quantile_turnover_partial_pass,True,True,recover_into_v2_without_alpha_performance_gate,
alpha360_CLOSE0,Alpha360,qlib_alpha360,$close/$close Alpha360 adapter holdout: constant_or_near_constant_normalization_identity.,adapter_holdout,exact_but_non_informative,none,normalization_identity_is_constant_or_near_constant,True,False,reject_formula_equivalent_constant,
alpha360_VOLUME0,Alpha360,qlib_alpha360,$volume/($volume+1e-12) Alpha360 adapter holdout: constant_or_near_constant_normalization_identity.,adapter_holdout,exact_but_non_informative,none,normalization_identity_is_constant_or_near_constant,True,False,reject_formula_equivalent_constant,
ta_others_cr,TA,TA,source_formula_not_present_in_local_reference,disabled,duplicate,none,excluded_return_label_overlap,False,False,reject,V1 remains immutable
ta_others_dlr,TA,TA,source_formula_not_present_in_local_reference,disabled,duplicate,none,excluded_return_label_overlap,False,False,reject,V1 remains immutable
ta_others_dr,TA,TA,source_formula_not_present_in_local_reference,disabled,duplicate,none,excluded_return_label_overlap,False,False,reject,V1 remains immutable
ta_trend_visual_ichimoku_a,TA,TA,source_formula_not_present_in_local_reference,disabled,lookahead,none,excluded_visual_ichimoku_forward_shift,False,False,reject,V1 remains immutable
ta_trend_visual_ichimoku_b,TA,TA,source_formula_not_present_in_local_reference,disabled,lookahead,none,excluded_visual_ichimoku_forward_shift,False,False,reject,V1 remains immutable
ta_volatility_bbli,TA,ta,Generated from ta wrapper smoke; coverage=1.000000 Pending TA batch V4 evaluation.,evaluation_holdout,exact,none_current,alphalens_reloaded_partial:quantile_turnover,True,True,recover_into_v2_without_alpha_performance_gate,
ta_volatility_kchi,TA,ta,Generated from ta wrapper smoke; coverage=1.000000 Pending TA batch V4 evaluation.,evaluation_holdout,exact,none_current,alphalens_reloaded_partial:quantile_turnover,True,True,recover_into_v2_without_alpha_performance_gate,
ta_volume_nvi,TA,TA,source_formula_not_present_in_local_reference,disabled,degraded,explicit_pct_change_semantics,excluded_pct_change_default_fill_method_warning,True,True,add_canonical_v2_version,V1 remains immutable
ta_volume_vpt,TA,TA,source_formula_not_present_in_local_reference,disabled,degraded,explicit_pct_change_semantics,excluded_pct_change_default_fill_method_warning,True,True,add_canonical_v2_version,V1 remains immutable
