factor,proposal_role_0_7,proposed_representative_0_7,representation_sign_0_7,reason_0_7,all_views_comparable_peers_0_7,unknown_pair_count_0_7,proposal_role_0_85,proposed_representative_0_85,representation_sign_0_85,reason_0_85,all_views_comparable_peers_0_85,unknown_pair_count_0_85,proposal_role_0_95,proposed_representative_0_95,representation_sign_0_95,reason_0_95,all_views_comparable_peers_0_95,unknown_pair_count_0_95,proposal_role_0_995,proposed_representative_0_995,representation_sign_0_995,reason_0_995,all_views_comparable_peers_0_995,unknown_pair_count_0_995,mechanism,horizon,formula_units,replacement_hold_reason,canonical_representation_proposal,registration_status,user_decision,replacement_authority
alpha158_CORD5,retain_unmerged_with_unknown_pairs,alpha158_CORD5,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_CORD5,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_CORD5,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_CORD5,1.0,Singleton is not evidence of independence,480,13,alpha158_cord,window_5,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_CORD60,retain_unmerged_with_unknown_pairs,alpha158_CORD60,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_CORD60,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_CORD60,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_CORD60,1.0,Singleton is not evidence of independence,480,13,alpha158_cord,window_60,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_CORR10,retain_unmerged_with_unknown_pairs,alpha158_CORR10,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_CORR10,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_CORR10,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_CORR10,1.0,Singleton is not evidence of independence,480,13,alpha158_corr,window_10,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_CORR20,retain_semantic_or_horizon_variant,alpha158_CORR20,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_CORR20,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_CORR20,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_CORR20,1.0,Singleton is not evidence of independence,480,13,alpha158_corr,window_20,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_CORR30,retain_semantic_or_horizon_variant,alpha158_CORR30,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_CORR30,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_CORR30,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_CORR30,1.0,Singleton is not evidence of independence,480,13,alpha158_corr,window_30,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_CORR5,retain_unmerged_with_unknown_pairs,alpha158_CORR5,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_CORR5,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_CORR5,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_CORR5,1.0,Singleton is not evidence of independence,480,13,alpha158_corr,window_5,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_CORR60,retain_unmerged_with_unknown_pairs,alpha158_CORR60,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_CORR60,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_CORR60,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_CORR60,1.0,Singleton is not evidence of independence,480,13,alpha158_corr,window_60,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_IMAX20,retain_semantic_or_horizon_variant,alpha158_IMAX20,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_IMAX20,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_IMAX20,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_IMAX20,1.0,Singleton is not evidence of independence,480,13,alpha158_imax,window_20,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_IMAX30,retain_semantic_or_horizon_variant,alpha158_IMAX30,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_IMAX30,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_IMAX30,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_IMAX30,1.0,Singleton is not evidence of independence,480,13,alpha158_imax,window_30,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_IMAX60,retain_semantic_or_horizon_variant,alpha158_IMAX60,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_IMAX60,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_IMAX60,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_IMAX60,1.0,Singleton is not evidence of independence,480,13,alpha158_imax,window_60,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_IMIN20,retain_unmerged_with_unknown_pairs,alpha158_IMIN20,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_IMIN20,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_IMIN20,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_IMIN20,1.0,Singleton is not evidence of independence,480,13,alpha158_imin,window_20,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_IMIN30,retain_semantic_or_horizon_variant,alpha158_IMIN30,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_IMIN30,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_IMIN30,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_IMIN30,1.0,Singleton is not evidence of independence,480,13,alpha158_imin,window_30,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_IMIN60,retain_unmerged_with_unknown_pairs,alpha158_IMIN60,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_IMIN60,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_IMIN60,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_IMIN60,1.0,Singleton is not evidence of independence,480,13,alpha158_imin,window_60,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_IMXD20,retain_semantic_or_horizon_variant,alpha158_IMXD20,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_IMXD20,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_IMXD20,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_IMXD20,1.0,Singleton is not evidence of independence,480,13,alpha158_imxd,window_20,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_IMXD30,retain_semantic_or_horizon_variant,alpha158_IMXD30,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_IMXD30,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_IMXD30,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_IMXD30,1.0,Singleton is not evidence of independence,480,13,alpha158_imxd,window_30,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_IMXD60,retain_semantic_or_horizon_variant,alpha158_IMXD60,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_IMXD60,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_IMXD60,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_IMXD60,1.0,Singleton is not evidence of independence,480,13,alpha158_imxd,window_60,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_KLEN,retain_unmerged_with_unknown_pairs,alpha158_KLEN,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_KLEN,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_KLEN,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_KLEN,1.0,Singleton is not evidence of independence,480,13,intraday_klen,same_day,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_KLOW,retain_unmerged_with_unknown_pairs,alpha158_KLOW,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_KLOW,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_KLOW,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_KLOW,1.0,Singleton is not evidence of independence,480,13,intraday_klow,same_day,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_KUP,retain_unmerged_with_unknown_pairs,alpha158_KUP,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_KUP,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_KUP,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_KUP,1.0,Singleton is not evidence of independence,480,13,intraday_kup,same_day,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_LOW0,retain_semantic_or_horizon_variant,alpha158_LOW0,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha158_LOW0,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha158_LOW0,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha158_LOW0,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,alpha158_low,window_0,ratio_or_normalized_statistic,,alpha158_LOW0,registered_development_sample_equality_identity_preserved,pending,none_proposal_only
alpha158_MA10,retain_semantic_or_horizon_variant,alpha158_MA10,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha158_MA10,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_MA10,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_MA10,1.0,Singleton is not evidence of independence,480,13,alpha158_ma,window_10,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_MA20,retain_semantic_or_horizon_variant,alpha158_MA20,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha158_MA20,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_MA20,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_MA20,1.0,Singleton is not evidence of independence,480,13,alpha158_ma,window_20,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_MA30,retain_semantic_or_horizon_variant,alpha158_MA30,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha158_MA30,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_MA30,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_MA30,1.0,Singleton is not evidence of independence,480,13,alpha158_ma,window_30,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_MA5,retain_semantic_or_horizon_variant,alpha158_MA5,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha158_MA5,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_MA5,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_MA5,1.0,Singleton is not evidence of independence,480,13,alpha158_ma,window_5,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_MA60,retain_semantic_or_horizon_variant,alpha158_MA60,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha158_MA60,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_MA60,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_MA60,1.0,Singleton is not evidence of independence,480,13,alpha158_ma,window_60,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_MAX5,retain_unmerged_with_unknown_pairs,alpha158_MAX5,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_MAX5,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_MAX5,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_MAX5,1.0,Singleton is not evidence of independence,480,13,alpha158_max,window_5,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_MIN10,retain_semantic_or_horizon_variant,alpha158_MIN10,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_MIN10,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_MIN10,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_MIN10,1.0,Singleton is not evidence of independence,480,13,alpha158_min,window_10,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_MIN20,retain_semantic_or_horizon_variant,alpha158_MIN20,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha158_MIN20,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_MIN20,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_MIN20,1.0,Singleton is not evidence of independence,480,13,alpha158_min,window_20,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_MIN30,retain_semantic_or_horizon_variant,alpha158_MIN30,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha158_MIN30,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_MIN30,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_MIN30,1.0,Singleton is not evidence of independence,480,13,alpha158_min,window_30,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_MIN5,retain_semantic_or_horizon_variant,alpha158_MIN5,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_MIN5,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_MIN5,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_MIN5,1.0,Singleton is not evidence of independence,480,13,alpha158_min,window_5,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_MIN60,retain_semantic_or_horizon_variant,alpha158_MIN60,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha158_MIN60,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_MIN60,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_MIN60,1.0,Singleton is not evidence of independence,480,13,alpha158_min,window_60,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_QTLD10,retain_semantic_or_horizon_variant,alpha158_QTLD10,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha158_QTLD10,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_QTLD10,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_QTLD10,1.0,Singleton is not evidence of independence,480,13,alpha158_qtld,window_10,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_QTLD20,retain_semantic_or_horizon_variant,alpha158_QTLD20,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha158_QTLD20,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_QTLD20,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_QTLD20,1.0,Singleton is not evidence of independence,480,13,alpha158_qtld,window_20,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_QTLD30,retain_semantic_or_horizon_variant,alpha158_QTLD30,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha158_QTLD30,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_QTLD30,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_QTLD30,1.0,Singleton is not evidence of independence,480,13,alpha158_qtld,window_30,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_QTLD5,retain_semantic_or_horizon_variant,alpha158_QTLD5,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha158_QTLD5,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_QTLD5,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_QTLD5,1.0,Singleton is not evidence of independence,480,13,alpha158_qtld,window_5,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_QTLD60,retain_semantic_or_horizon_variant,alpha158_QTLD60,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha158_QTLD60,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_QTLD60,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_QTLD60,1.0,Singleton is not evidence of independence,480,13,alpha158_qtld,window_60,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_QTLU20,retain_semantic_or_horizon_variant,alpha158_QTLU20,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha158_QTLU20,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_QTLU20,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_QTLU20,1.0,Singleton is not evidence of independence,480,13,alpha158_qtlu,window_20,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_QTLU30,retain_semantic_or_horizon_variant,alpha158_QTLU30,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha158_QTLU30,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_QTLU30,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_QTLU30,1.0,Singleton is not evidence of independence,480,13,alpha158_qtlu,window_30,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_QTLU60,retain_semantic_or_horizon_variant,alpha158_QTLU60,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha158_QTLU60,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_QTLU60,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_QTLU60,1.0,Singleton is not evidence of independence,480,13,alpha158_qtlu,window_60,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_RANK10,retain_semantic_or_horizon_variant,alpha158_RANK10,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha158_RANK10,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_RANK10,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_RANK10,1.0,Singleton is not evidence of independence,480,13,alpha158_rank,window_10,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_RANK20,retain_semantic_or_horizon_variant,alpha158_RANK20,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha158_RANK20,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_RANK20,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_RANK20,1.0,Singleton is not evidence of independence,480,13,alpha158_rank,window_20,ratio_or_normalized_statistic,,,,pending,none_proposal_only
alpha158_RANK30,retain_semantic_or_horizon_variant,alpha158_RANK30,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_semantic_or_horizon_variant,alpha158_RANK30,1.0,Distinct resolved mechanism/window/units; identity retained,480,13,retain_unmerged_with_unknown_pairs,alpha158_RANK30,1.0,Singleton is not evidence of independence,480,13,retain_unmerged_with_unknown_pairs,alpha158_RANK30,1.0,Singleton is not evidence of independence,480,13,alpha158_rank,window_30,ratio_or_normalized_statistic,,,,pending,none_proposal_only
