factor,signal_era,parity_status,max_rank_ic_difference,native_status,reason,sequential_replay,wall_seconds,rss_bytes
mature_asset_growth_yoy,A,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,4.8301119999996445,375300096.0
mature_book_to_market_pit,A,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,4.778843600000982,370397184.0
mature_log_total_market_cap,A,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,4.802361500002007,374337536.0
mature_momentum_12_1,A,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,4.788599799998337,373817344.0
mature_return_on_assets,A,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,4.75893840000208,372527104.0
rev_5,A,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,5.2657029000001785,306913280.0
std_20,A,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,4.5846817000019655,337408000.0
ta_momentum_kama,A,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,4.752759399998467,363307008.0
ta_momentum_rsi,A,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,4.947767900001054,366637056.0
ta_volatility_atr,A,unavailable,,{},no_definable_daily_samples,unavailable,,
ta_volume_cmf,A,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,5.098706499997206,369115136.0
alpha158_BETA20,B,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,6.7792024000009405,390381568.0
alpha158_CORR20,B,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,6.336836800001038,392585216.0
alpha158_ROC20,B,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,6.557070800001384,392257536.0
alpha158_VSTD20,B,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,6.664705299997877,394039296.0
alpha360_CLOSE1,B,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,6.375561099997867,396222464.0
alpha360_VOLUME1,B,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.073947500000941,397549568.0
alpha360_VWAP1,B,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.004739099997096,398626816.0
amount_mean_20,B,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,6.812180500000977,391356416.0
kunquant_alpha101_alpha005,B,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.287103599999682,405016576.0
kunquant_alpha101_alpha005_canonical_vwap_v2,B,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,6.9012269000013475,405647360.0
kunquant_alpha101_alpha015,B,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.366511000000173,405884928.0
kunquant_alpha101_alpha017,B,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.2191555999997945,404058112.0
mature_amihud_illiquidity_20,B,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.2568011000003025,407322624.0
mature_asset_growth_yoy,B,pass,1.3877787807814457e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.115145699997811,406638592.0
mature_book_to_market_pit,B,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.530794700000115,406192128.0
mature_log_total_market_cap,B,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.914122500002122,406097920.0
mature_momentum_12_1,B,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.018889499999204,411906048.0
mature_return_on_assets,B,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.658585299999686,406056960.0
rev_5,B,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,6.901298000000679,386101248.0
std_20,B,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,6.520164100002148,389341184.0
ta_momentum_kama,B,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,6.936552700000902,401969152.0
ta_momentum_rsi,B,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.298414299999422,404172800.0
ta_volatility_atr,B,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.420355800000834,396472320.0
ta_volume_cmf,B,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.661984499998653,400797696.0
alpha158_BETA20,C,pass,1.1102230246251565e-16,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.932523499999661,407486464.0
alpha158_CORR20,C,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,8.292190299998765,408756224.0
alpha158_ROC20,C,pass,1.1102230246251565e-16,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.709337800002686,409628672.0
alpha158_VSTD20,C,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.681324100001802,409202688.0
alpha360_CLOSE1,C,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,8.013975499998196,409595904.0
alpha360_VOLUME1,C,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.880672900002537,411619328.0
alpha360_VWAP1,C,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.67207789999884,409812992.0
amount_mean_20,C,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.515855999998166,409284608.0
kunquant_alpha101_alpha005,C,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.100773400001344,412827648.0
kunquant_alpha101_alpha005_canonical_vwap_v2,C,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.457449199999246,413548544.0
kunquant_alpha101_alpha015,C,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.4779858000001695,413257728.0
kunquant_alpha101_alpha017,C,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.949508300000161,413204480.0
mature_amihud_illiquidity_20,C,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.540769700000965,413134848.0
mature_asset_growth_yoy,C,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.273045900001307,414011392.0
mature_book_to_market_pit,C,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.265132500000618,412549120.0
mature_log_total_market_cap,C,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.242416199998843,412483584.0
mature_momentum_12_1,C,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.149790999999823,408965120.0
mature_return_on_assets,C,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.2953476999973645,422088704.0
rev_5,C,pass,1.1102230246251565e-16,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.268860899999709,409055232.0
std_20,C,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.534049199999572,409690112.0
ta_momentum_kama,C,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.969559299999673,411906048.0
ta_momentum_rsi,C,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.712434799999755,410910720.0
ta_volatility_atr,C,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.301626899999974,407285760.0
ta_volume_cmf,C,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.671667999999045,412712960.0
alpha158_BETA20,D,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.2323512000002665,438583296.0
alpha158_CORR20,D,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.112251700000343,439185408.0
alpha158_ROC20,D,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.5217825999970955,438009856.0
alpha158_VSTD20,D,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.6354430000028515,438095872.0
alpha360_CLOSE1,D,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.112963600000512,437710848.0
alpha360_VOLUME1,D,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.399030600001424,439545856.0
alpha360_VWAP1,D,pass,2.7755575615628914e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.043533100000786,439693312.0
amount_mean_20,D,pass,1.1102230246251565e-16,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.534275899997738,439971840.0
kunquant_alpha101_alpha005,D,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,6.959382500001084,443002880.0
kunquant_alpha101_alpha005_canonical_vwap_v2,D,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.234991799999989,444571648.0
kunquant_alpha101_alpha015,D,pass,1.3877787807814457e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,6.929173900000023,442535936.0
kunquant_alpha101_alpha017,D,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.43875879999905,444624896.0
mature_amihud_illiquidity_20,D,pass,1.1102230246251565e-16,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.208155000000261,445177856.0
mature_asset_growth_yoy,D,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,8.444458699999814,443293696.0
mature_book_to_market_pit,D,pass,1.1102230246251565e-16,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.17429009999978,443543552.0
mature_log_total_market_cap,D,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.440360399999918,444854272.0
mature_momentum_12_1,D,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.053831000001082,442560512.0
mature_return_on_assets,D,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.15864430000147,445001728.0
rev_5,D,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.415189399998781,431263744.0
std_20,D,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.242573600000469,440102912.0
ta_momentum_kama,D,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.44412949999969,452362240.0
ta_momentum_rsi,D,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.217368000001443,442429440.0
ta_volatility_atr,D,pass,1.1102230246251565e-16,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.310367300000507,441802752.0
ta_volume_cmf,D,pass,5.551115123125783e-17,"{""alphalens_quantile"": ""pass"", ""jqfactor_returns"": ""pass"", ""qlib_long_short"": ""pass""}",,pass,7.533842899996671,443142144.0
