factor,direction_instability,regime_concentrated,low_sample_coverage,by_sensitivity_not_significant,warnings,secondary_universe_status,microcap_exposure_status,turnover_status,numeric_duplicate_clustering_status,auxiliary_10d_status
alpha158_CNTN10,True,False,False,True,direction_instability;by_sensitivity_not_significant;raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_CNTN20,True,False,False,True,direction_instability;by_sensitivity_not_significant;raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_CNTN30,True,False,False,True,direction_instability;by_sensitivity_not_significant;raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_CNTN5,True,False,False,True,direction_instability;by_sensitivity_not_significant;raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_CNTN60,True,False,False,True,direction_instability;by_sensitivity_not_significant;raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_CNTP10,True,False,False,True,direction_instability;by_sensitivity_not_significant;raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_CNTP20,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_CNTP30,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_CNTP5,True,False,False,True,direction_instability;by_sensitivity_not_significant;raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_CNTP60,False,False,False,True,by_sensitivity_not_significant;raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_CORD10,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_CORD20,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_CORD30,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_CORD5,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_CORD60,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_CORR10,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_CORR20,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_CORR30,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_CORR5,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_CORR60,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_HIGH0,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_IMAX10,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_IMAX20,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_IMAX30,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_IMAX5,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_IMAX60,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_IMIN10,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_IMIN20,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_IMIN30,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_IMIN5,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_IMIN60,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_IMXD10,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_IMXD20,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_IMXD30,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_IMXD5,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_IMXD60,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_KLEN,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_KLOW,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_KLOW2,True,True,False,True,direction_instability;regime_concentrated;by_sensitivity_not_significant;raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_KMID,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_KMID2,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_KSFT,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_KSFT2,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_KUP,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_KUP2,True,False,False,True,direction_instability;by_sensitivity_not_significant;raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_LOW0,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_MA10,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_MA20,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_MA30,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_MA5,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_MA60,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_MAX10,False,False,False,True,by_sensitivity_not_significant;raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_MAX20,True,True,False,True,direction_instability;regime_concentrated;by_sensitivity_not_significant;raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_MAX30,True,True,False,True,direction_instability;regime_concentrated;by_sensitivity_not_significant;raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_MAX5,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_MAX60,True,False,False,True,direction_instability;by_sensitivity_not_significant;raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_MIN10,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_MIN20,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_MIN30,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_MIN5,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_MIN60,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_OPEN0,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_QTLD10,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_QTLD20,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_QTLD30,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_QTLD5,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_QTLD60,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_QTLU10,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_QTLU20,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_QTLU30,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_QTLU5,True,True,False,True,direction_instability;regime_concentrated;by_sensitivity_not_significant;raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_QTLU60,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_RANK10,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_RANK20,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_RANK30,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_RANK5,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_RANK60,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_RESI10,False,True,False,False,regime_concentrated;raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_RESI20,True,False,False,True,direction_instability;by_sensitivity_not_significant;raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_RESI30,True,False,False,True,direction_instability;by_sensitivity_not_significant;raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_RESI5,True,False,False,False,direction_instability;raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_RESI60,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_ROC10,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_ROC20,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_ROC30,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_ROC5,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_ROC60,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_RSQR10,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_RSQR20,True,False,False,True,direction_instability;by_sensitivity_not_significant;raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_RSQR30,True,False,False,True,direction_instability;by_sensitivity_not_significant;raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_RSQR5,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_RSQR60,True,True,False,True,direction_instability;regime_concentrated;by_sensitivity_not_significant;raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_RSV10,False,False,False,True,by_sensitivity_not_significant;raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_RSV20,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_RSV30,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_RSV5,False,False,False,True,by_sensitivity_not_significant;raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_RSV60,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_STD10,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_STD20,False,False,False,True,by_sensitivity_not_significant;raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_STD30,True,False,False,True,direction_instability;by_sensitivity_not_significant;raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_STD5,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_STD60,True,False,False,True,direction_instability;by_sensitivity_not_significant;raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_SUMD10,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_SUMD20,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_SUMD30,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_SUMD5,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_SUMD60,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_SUMN10,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_SUMN20,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_SUMN30,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_SUMN5,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_SUMN60,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_SUMP10,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_SUMP20,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_SUMP30,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_SUMP5,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_SUMP60,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_VMA10,False,False,False,True,by_sensitivity_not_significant;raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_VMA20,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_VMA30,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_VMA5,True,False,False,True,direction_instability;by_sensitivity_not_significant;raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_VMA60,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_VSTD10,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_VSTD20,True,False,False,False,direction_instability;raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_VSTD30,True,True,False,True,direction_instability;regime_concentrated;by_sensitivity_not_significant;raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_VSTD5,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_VSTD60,True,False,False,False,direction_instability;raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_VSUMD10,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_VSUMD20,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_VSUMD30,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_VSUMD5,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_VSUMD60,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_VSUMN10,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_VSUMN20,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_VSUMN30,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_VSUMN5,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_VSUMN60,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_VSUMP10,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_VSUMP20,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_VSUMP30,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_VSUMP5,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
alpha158_VSUMP60,False,False,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run,not_run,not_run,not_run,not_run,not_run
