factor_order,factor
282,alpha360_CLOSE27
283,alpha360_CLOSE28
284,alpha360_CLOSE29
285,alpha360_CLOSE3
286,alpha360_CLOSE30
287,alpha360_CLOSE31
288,alpha360_CLOSE32
289,alpha360_CLOSE33
290,alpha360_CLOSE34
291,alpha360_CLOSE35
292,alpha360_CLOSE36
293,alpha360_CLOSE37
294,alpha360_CLOSE38
295,alpha360_CLOSE39
296,alpha360_CLOSE4
297,alpha360_CLOSE40
298,alpha360_CLOSE41
299,alpha360_CLOSE42
300,alpha360_CLOSE43
301,alpha360_CLOSE44
302,alpha360_CLOSE45
303,alpha360_CLOSE46
304,alpha360_CLOSE47
305,alpha360_CLOSE48
306,alpha360_CLOSE49
307,alpha360_CLOSE5
308,alpha360_CLOSE50
309,alpha360_CLOSE51
310,alpha360_CLOSE52
311,alpha360_CLOSE53
312,alpha360_CLOSE54
313,alpha360_CLOSE55
314,alpha360_CLOSE56
315,alpha360_CLOSE57
316,alpha360_CLOSE58
317,alpha360_CLOSE59
318,alpha360_CLOSE6
319,alpha360_CLOSE7
320,alpha360_CLOSE8
321,alpha360_CLOSE9
322,alpha360_HIGH0
323,alpha360_HIGH1
324,alpha360_HIGH10
325,alpha360_HIGH11
326,alpha360_HIGH12
327,alpha360_HIGH13
328,alpha360_HIGH14
329,alpha360_HIGH15
330,alpha360_HIGH16
331,alpha360_HIGH17
332,alpha360_HIGH18
333,alpha360_HIGH19
334,alpha360_HIGH2
335,alpha360_HIGH20
336,alpha360_HIGH21
337,alpha360_HIGH22
338,alpha360_HIGH23
339,alpha360_HIGH24
340,alpha360_HIGH25
341,alpha360_HIGH26
342,alpha360_HIGH27
343,alpha360_HIGH28
344,alpha360_HIGH29
345,alpha360_HIGH3
346,alpha360_HIGH30
347,alpha360_HIGH31
348,alpha360_HIGH32
349,alpha360_HIGH33
350,alpha360_HIGH34
351,alpha360_HIGH35
352,alpha360_HIGH36
353,alpha360_HIGH37
354,alpha360_HIGH38
355,alpha360_HIGH39
356,alpha360_HIGH4
357,alpha360_HIGH40
358,alpha360_HIGH41
359,alpha360_HIGH42
360,alpha360_HIGH43
361,alpha360_HIGH44
362,alpha360_HIGH45
363,alpha360_HIGH46
364,alpha360_HIGH47
365,alpha360_HIGH48
366,alpha360_HIGH49
367,alpha360_HIGH5
368,alpha360_HIGH50
369,alpha360_HIGH51
370,alpha360_HIGH52
371,alpha360_HIGH53
372,alpha360_HIGH54
373,alpha360_HIGH55
374,alpha360_HIGH56
375,alpha360_HIGH57
376,alpha360_HIGH58
377,alpha360_HIGH59
378,alpha360_HIGH6
379,alpha360_HIGH7
380,alpha360_HIGH8
381,alpha360_HIGH9
382,alpha360_LOW0
383,alpha360_LOW1
384,alpha360_LOW10
385,alpha360_LOW11
386,alpha360_LOW12
387,alpha360_LOW13
388,alpha360_LOW14
389,alpha360_LOW15
390,alpha360_LOW16
391,alpha360_LOW17
392,alpha360_LOW18
393,alpha360_LOW19
394,alpha360_LOW2
395,alpha360_LOW20
396,alpha360_LOW21
397,alpha360_LOW22
398,alpha360_LOW23
399,alpha360_LOW24
400,alpha360_LOW25
401,alpha360_LOW26
402,alpha360_LOW27
403,alpha360_LOW28
404,alpha360_LOW29
405,alpha360_LOW3
406,alpha360_LOW30
407,alpha360_LOW31
408,alpha360_LOW32
409,alpha360_LOW33
410,alpha360_LOW34
411,alpha360_LOW35
412,alpha360_LOW36
413,alpha360_LOW37
414,alpha360_LOW38
415,alpha360_LOW39
416,alpha360_LOW4
417,alpha360_LOW40
418,alpha360_LOW41
419,alpha360_LOW42
420,alpha360_LOW43
421,alpha360_LOW44
422,alpha360_LOW45
423,alpha360_LOW46
424,alpha360_LOW47
425,alpha360_LOW48
426,alpha360_LOW49
427,alpha360_LOW5
428,alpha360_LOW50
429,alpha360_LOW51
430,alpha360_LOW52
431,alpha360_LOW53
432,alpha360_LOW54
433,alpha360_LOW55
434,alpha360_LOW56
435,alpha360_LOW57
436,alpha360_LOW58
437,alpha360_LOW59
438,alpha360_LOW6
439,alpha360_LOW7
440,alpha360_LOW8
441,alpha360_LOW9
442,alpha360_OPEN0
443,alpha360_OPEN1
444,alpha360_OPEN10
445,alpha360_OPEN11
446,alpha360_OPEN12
447,alpha360_OPEN13
448,alpha360_OPEN14
449,alpha360_OPEN15
450,alpha360_OPEN16
451,alpha360_OPEN17
452,alpha360_OPEN18
453,alpha360_OPEN19
454,alpha360_OPEN2
455,alpha360_OPEN20
456,alpha360_OPEN21
457,alpha360_OPEN22
458,alpha360_OPEN23
459,alpha360_OPEN24
460,alpha360_OPEN25
461,alpha360_OPEN26
462,alpha360_OPEN27
463,alpha360_OPEN28
464,alpha360_OPEN29
465,alpha360_OPEN3
466,alpha360_OPEN30
467,alpha360_OPEN31
468,alpha360_OPEN32
469,alpha360_OPEN33
470,alpha360_OPEN34
471,alpha360_OPEN35
472,alpha360_OPEN36
473,alpha360_OPEN37
474,alpha360_OPEN38
475,alpha360_OPEN39
476,alpha360_OPEN4
477,alpha360_OPEN40
478,alpha360_OPEN41
479,alpha360_OPEN42
480,alpha360_OPEN43
481,alpha360_OPEN44
482,alpha360_OPEN45
483,alpha360_OPEN46
484,alpha360_OPEN47
485,alpha360_OPEN48
486,alpha360_OPEN49
487,alpha360_OPEN5
488,alpha360_OPEN50
489,alpha360_OPEN51
490,alpha360_OPEN52
491,alpha360_OPEN53
492,alpha360_OPEN54
493,alpha360_OPEN55
494,alpha360_OPEN56
495,alpha360_OPEN57
496,alpha360_OPEN58
497,alpha360_OPEN59
498,alpha360_OPEN6
499,alpha360_OPEN7
500,alpha360_OPEN8
501,alpha360_OPEN9
502,alpha360_VOLUME1
503,alpha360_VOLUME10
504,alpha360_VOLUME11
505,alpha360_VOLUME12
506,alpha360_VOLUME13
507,alpha360_VOLUME14
508,alpha360_VOLUME15
509,alpha360_VOLUME16
510,alpha360_VOLUME17
511,alpha360_VOLUME18
512,alpha360_VOLUME19
513,alpha360_VOLUME2
514,alpha360_VOLUME20
515,alpha360_VOLUME21
516,alpha360_VOLUME22
517,alpha360_VOLUME23
518,alpha360_VOLUME24
519,alpha360_VOLUME25
520,alpha360_VOLUME26
521,alpha360_VOLUME27
522,alpha360_VOLUME28
523,alpha360_VOLUME29
524,alpha360_VOLUME3
525,alpha360_VOLUME30
526,alpha360_VOLUME31
527,alpha360_VOLUME32
528,alpha360_VOLUME33
529,alpha360_VOLUME34
530,alpha360_VOLUME35
531,alpha360_VOLUME36
532,alpha360_VOLUME37
533,alpha360_VOLUME38
534,alpha360_VOLUME39
535,alpha360_VOLUME4
536,alpha360_VOLUME40
537,alpha360_VOLUME41
538,alpha360_VOLUME42
539,alpha360_VOLUME43
540,alpha360_VOLUME44
541,alpha360_VOLUME45
542,alpha360_VOLUME46
543,alpha360_VOLUME47
544,alpha360_VOLUME48
545,alpha360_VOLUME49
546,alpha360_VOLUME5
547,alpha360_VOLUME50
548,alpha360_VOLUME51
549,alpha360_VOLUME52
550,alpha360_VOLUME53
551,alpha360_VOLUME54
552,alpha360_VOLUME55
553,alpha360_VOLUME56
554,alpha360_VOLUME57
555,alpha360_VOLUME58
556,alpha360_VOLUME59
557,alpha360_VOLUME6
558,alpha360_VOLUME7
559,alpha360_VOLUME8
560,alpha360_VOLUME9
561,alpha360_VWAP0
562,alpha360_VWAP1
563,alpha360_VWAP10
564,alpha360_VWAP11
565,alpha360_VWAP12
566,alpha360_VWAP13
567,alpha360_VWAP14
568,alpha360_VWAP15
569,alpha360_VWAP16
570,alpha360_VWAP17
571,alpha360_VWAP18
572,alpha360_VWAP19
573,alpha360_VWAP2
574,alpha360_VWAP20
575,alpha360_VWAP21
576,alpha360_VWAP22
577,alpha360_VWAP23
578,alpha360_VWAP24
579,alpha360_VWAP25
580,alpha360_VWAP26
581,alpha360_VWAP27
582,alpha360_VWAP28
583,alpha360_VWAP29
584,alpha360_VWAP3
585,alpha360_VWAP30
586,alpha360_VWAP31
587,alpha360_VWAP32
588,alpha360_VWAP33
589,alpha360_VWAP34
590,alpha360_VWAP35
591,alpha360_VWAP36
592,alpha360_VWAP37
593,alpha360_VWAP38
594,alpha360_VWAP39
595,alpha360_VWAP4
596,alpha360_VWAP40
597,alpha360_VWAP41
598,alpha360_VWAP42
599,alpha360_VWAP43
600,alpha360_VWAP44
601,alpha360_VWAP45
602,alpha360_VWAP46
603,alpha360_VWAP47
604,alpha360_VWAP48
605,alpha360_VWAP49
606,alpha360_VWAP5
607,alpha360_VWAP50
608,alpha360_VWAP51
609,alpha360_VWAP52
610,alpha360_VWAP53
611,alpha360_VWAP54
612,alpha360_VWAP55
613,alpha360_VWAP56
614,alpha360_VWAP57
615,alpha360_VWAP58
616,alpha360_VWAP59
617,alpha360_VWAP6
618,alpha360_VWAP7
619,alpha360_VWAP8
620,alpha360_VWAP9
621,mature_abnormal_turnover_20
622,mature_accruals_to_assets
623,mature_amihud_illiquidity_20
624,mature_amount_momentum_20
625,mature_asset_growth_yoy
626,mature_book_leverage
627,mature_book_to_market_pit
628,mature_book_to_price
629,mature_cash_ratio
630,mature_cashflow_quality
631,mature_cashflow_to_price_pit
632,mature_cashflow_to_sales
633,mature_current_ratio
634,mature_dividend_yield_ttm
635,mature_downside_volatility_60
636,mature_earnings_to_price_pit
637,mature_earnings_yield_ttm
638,mature_extra_large_order_imbalance
639,mature_float_market_cap_ratio
640,mature_gross_margin
641,mature_gross_profitability
642,mature_high_52w
643,mature_idiosyncratic_volatility_60
644,mature_institutional_flow_persistence_20
645,mature_institutional_order_imbalance
646,mature_intraday_return_20
647,mature_large_order_imbalance
648,mature_log_float_market_cap
649,mature_log_total_market_cap
650,mature_market_beta_60
651,mature_max_daily_return_21
652,mature_max_drawdown_60
653,mature_medium_order_imbalance
654,mature_momentum_12_1
655,mature_net_flow_persistence_20
656,mature_net_flow_persistence_5
657,mature_net_flow_to_traded_amount
658,mature_net_income_growth_yoy
659,mature_net_margin
660,mature_operating_cashflow_to_assets
661,mature_operating_profitability
662,mature_overall_order_imbalance
663,mature_overnight_return_20
664,mature_parkinson_volatility_20
665,mature_realized_volatility_60
666,mature_return_on_assets
667,mature_return_skewness_60
668,mature_revenue_growth_yoy
669,mature_reversal_1m
670,mature_sales_to_price_pit
671,mature_sales_to_price_ttm
672,mature_small_order_imbalance
673,mature_turnover_mean_20
674,mature_turnover_rate_free_float
675,mature_turnover_volatility_20
676,mature_volume_ratio
677,mature_vwap_deviation
678,mature_vwap_deviation_20
679,amount_cv_20
680,amount_mean_20
681,amount_std_20
682,amplitude_20
683,corr_ret_amount_20
684,corr_ret_volume_20
685,downside_std_20
686,max_drawdown_20
687,ret_10
688,ret_20
689,ret_5
690,rev_20_exclude_5
691,rev_5
692,std_20
693,volume_ratio_5_20
694,ta_momentum_ao
695,ta_momentum_kama
696,ta_momentum_ppo
697,ta_momentum_ppo_hist
698,ta_momentum_ppo_signal
699,ta_momentum_pvo
700,ta_momentum_pvo_hist
701,ta_momentum_pvo_signal
702,ta_momentum_roc
703,ta_momentum_rsi
704,ta_momentum_stoch
705,ta_momentum_stoch_rsi
706,ta_momentum_stoch_rsi_d
707,ta_momentum_stoch_rsi_k
708,ta_momentum_stoch_signal
709,ta_momentum_tsi
710,ta_momentum_uo
711,ta_momentum_wr
712,ta_trend_adx
713,ta_trend_adx_neg
714,ta_trend_adx_pos
715,ta_trend_aroon_down
716,ta_trend_aroon_ind
717,ta_trend_aroon_up
718,ta_trend_cci
719,ta_trend_dpo
720,ta_trend_ema_fast
721,ta_trend_ema_slow
722,ta_trend_ichimoku_a
723,ta_trend_ichimoku_b
724,ta_trend_ichimoku_base
725,ta_trend_ichimoku_conv
726,ta_trend_kst
727,ta_trend_kst_diff
728,ta_trend_kst_sig
729,ta_trend_macd
730,ta_trend_macd_diff
731,ta_trend_macd_signal
732,ta_trend_mass_index
733,ta_trend_psar_down
734,ta_trend_psar_down_indicator
735,ta_trend_psar_up
736,ta_trend_psar_up_indicator
737,ta_trend_sma_fast
738,ta_trend_sma_slow
739,ta_trend_stc
740,ta_trend_trix
741,ta_trend_vortex_ind_diff
742,ta_trend_vortex_ind_neg
743,ta_trend_vortex_ind_pos
744,ta_volatility_atr
745,ta_volatility_bbh
746,ta_volatility_bbhi
747,ta_volatility_bbl
748,ta_volatility_bbm
749,ta_volatility_bbp
750,ta_volatility_bbw
751,ta_volatility_dch
752,ta_volatility_dcl
753,ta_volatility_dcm
754,ta_volatility_dcp
755,ta_volatility_dcw
756,ta_volatility_kcc
757,ta_volatility_kch
758,ta_volatility_kcl
759,ta_volatility_kcli
760,ta_volatility_kcp
761,ta_volatility_kcw
762,ta_volatility_ui
763,ta_volume_adi
764,ta_volume_cmf
765,ta_volume_em
766,ta_volume_fi
767,ta_volume_mfi
768,ta_volume_obv
769,ta_volume_sma_em
770,ta_volume_vwap
771,ta_volatility_bbli
772,ta_volatility_kchi
773,ta_volume_nvi_canonical_v2
774,ta_volume_vpt_canonical_v2
