factor,source,canonical_factor_id,economic_family,economic_subfamily,agreement,pass_count,analysis_direction,qlib_ic__mean,annual_direction_agreement,worst_directional_era_mean,fdr_by_q_value,ic_sample_coverage,quantile_dates,alphalens_quantile_monotonicity_raw,alphalens_q1__mean,alphalens_q2__mean,alphalens_q3__mean,alphalens_q4__mean,alphalens_q5__mean,era_A_mean_raw,era_B_mean_raw,era_C_mean_raw,era_D_mean_raw,alphalens_reasons,jqfactor_reasons,qlib_reasons,direction_instability,regime_concentrated,low_sample_coverage,by_sensitivity_not_significant,review_recommendation,structural_group_hint,existing_flags,opposite_annual_periods,review_notes,reviewer,user_decision,scope,basis_rule_id
alpha158_CNTN10,alpha158,80f85e2117d66fde5525db3b59a0d9433ed5c7f1724e3b01071fe0eefd6ff5c3,MomentumTrend,TechnicalTrend,0/3,0,1.0,0.008199320016789776,0.6428571428571429,-0.005748373883697969,1.0,0.9506877963692354,473,0.09999999999999999,0.004355457276034001,0.006479984705766712,0.0061419779776306855,0.006467771466528726,0.005234090374807685,-0.005748373883697969,0.013061743338993678,0.02273498449271394,0.011696869427560307,absolute_mean_rank_ic_002;annual_ic_agreement_070;primary_BH_q_005;minimum_1260_quantile_dates;directional_quantile_monotonicity_080,absolute_mean_rank_ic_002;annual_ic_agreement_070;primary_BH_q_005;weighted_return_annual_agreement_060,absolute_mean_rank_ic_002;annual_ic_agreement_070;primary_BH_q_005,True,False,False,True,当前20D候选研究不优先推进,alpha158_CNTN,direction_instability;by_sensitivity_not_significant,2012;2013;2014;2017;2021,按冻结原生指标审阅；经济解释暂沿用描述性元数据，尚未证实独立增量或交易价值。,Codex_assisted_review,pending,2010_2023_primary_20d_descriptive_review_not_new_selection,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b
alpha158_CNTN20,alpha158,5573a789eaf45f29c88e4325ab70cad29e2a91539994d09be161011f81c86107,MomentumTrend,TechnicalTrend,0/3,0,1.0,0.014812058199546679,0.6428571428571429,-0.0017426014041352265,0.2419324047704282,0.9506877963692354,2819,0.39999999999999997,0.0034650761446029556,0.004705898033778567,0.005151864178875277,0.005396196672425982,0.004608547449015907,-0.0017426014041352265,0.018890421642763243,0.030888828675649772,0.02193430241938057,absolute_mean_rank_ic_002;annual_ic_agreement_070;directional_quantile_monotonicity_080,absolute_mean_rank_ic_002;annual_ic_agreement_070;weighted_return_annual_agreement_060,absolute_mean_rank_ic_002;annual_ic_agreement_070,True,False,False,True,当前20D候选研究不优先推进,alpha158_CNTN,direction_instability;by_sensitivity_not_significant,2013;2014;2016;2017;2023,按冻结原生指标审阅；经济解释暂沿用描述性元数据，尚未证实独立增量或交易价值。,Codex_assisted_review,pending,2010_2023_primary_20d_descriptive_review_not_new_selection,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b
alpha158_CNTN30,alpha158,e0b0df32354040ce584b67d499d64b363dfd7c011379020588a4e5d6ae8405ee,MomentumTrend,TechnicalTrend,0/3,0,1.0,0.015906130710537,0.6428571428571429,-0.00026445209245169906,0.2105984281173419,0.9506877963692354,3318,0.6,0.005185516191136389,0.006247862074004506,0.006710579183119238,0.006639607853889782,0.0066291249954504704,-0.00026445209245169906,0.012694192869764564,0.028881953681809614,0.03314450608501565,absolute_mean_rank_ic_002;annual_ic_agreement_070;directional_quantile_monotonicity_080,absolute_mean_rank_ic_002;annual_ic_agreement_070;weighted_return_annual_agreement_060,absolute_mean_rank_ic_002;annual_ic_agreement_070,True,False,False,True,当前20D候选研究不优先推进,alpha158_CNTN,direction_instability;by_sensitivity_not_significant,2013;2014;2016;2017;2023,按冻结原生指标审阅；经济解释暂沿用描述性元数据，尚未证实独立增量或交易价值。,Codex_assisted_review,pending,2010_2023_primary_20d_descriptive_review_not_new_selection,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b
alpha158_CNTN5,alpha158,38460b8f0bf2e8ee60823a9da21b2bcd9c429118cd3c2736a2263782b3bfc2b8,MomentumTrend,TechnicalTrend,0/3,0,1.0,0.006568874179865682,0.7142857142857143,-0.001026043174404939,0.79133333408454,0.9506877963692354,3,0.9999999999999999,0.01338428227841615,0.037995215436713546,0.06574274142008943,0.08187572428488059,0.08421992173541189,-0.001026043174404939,0.009459071740772868,0.014769411550371226,0.007926833823763338,absolute_mean_rank_ic_002;primary_BH_q_005;minimum_1260_quantile_dates,absolute_mean_rank_ic_002;primary_BH_q_005;weighted_return_annual_agreement_060,absolute_mean_rank_ic_002;primary_BH_q_005,True,False,False,True,当前20D候选研究不优先推进,alpha158_CNTN,direction_instability;by_sensitivity_not_significant,2013;2014;2017;2021,按冻结原生指标审阅；经济解释暂沿用描述性元数据，尚未证实独立增量或交易价值。,Codex_assisted_review,pending,2010_2023_primary_20d_descriptive_review_not_new_selection,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b
alpha158_CNTN60,alpha158,0892302d237e0cce0a8ce8db87f01adcc5411369feb3566c6cb2d2197dccf10f,MomentumTrend,TechnicalTrend,0/3,0,1.0,0.01012694759326118,0.5714285714285714,-0.0007707422450328804,1.0,0.9506877963692354,3361,-0.3,0.006762270433613594,0.007113855434016871,0.007125167207178488,0.007079216236066233,0.006302726001638197,-0.0007707422450328804,0.0035613365748814268,0.020923938408267548,0.024185259133748638,absolute_mean_rank_ic_002;annual_ic_agreement_070;primary_BH_q_005;positive_directional_quantile_spread;directional_quantile_monotonicity_080,absolute_mean_rank_ic_002;annual_ic_agreement_070;primary_BH_q_005;positive_directional_weighted_return;weighted_return_annual_agreement_060,absolute_mean_rank_ic_002;annual_ic_agreement_070;primary_BH_q_005;positive_directional_long_short,True,False,False,True,当前20D候选研究不优先推进,alpha158_CNTN,direction_instability;by_sensitivity_not_significant,2013;2014;2016;2017;2020;2023,按冻结原生指标审阅；经济解释暂沿用描述性元数据，尚未证实独立增量或交易价值。,Codex_assisted_review,pending,2010_2023_primary_20d_descriptive_review_not_new_selection,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b
alpha158_CNTP10,alpha158,cbdd2ed759ef11810056d0eb9a8864517767a9a4f7a1792aa7aea0c3327199a1,MomentumTrend,TechnicalTrend,0/3,0,-1.0,-0.011511615114302707,0.7857142857142857,-0.0038918077467020493,0.2877943736747355,0.9506877963692354,577,0.09999999999999999,0.00133576125213067,0.0024964719054008347,0.003391932947400644,0.0024731402740192704,0.0018180174679939293,0.0038918077467020493,-0.017136199757720245,-0.01902633359934823,-0.023938446587551728,absolute_mean_rank_ic_002;minimum_1260_quantile_dates;positive_directional_quantile_spread;directional_quantile_monotonicity_080,absolute_mean_rank_ic_002;weighted_return_annual_agreement_060,absolute_mean_rank_ic_002,True,False,False,True,当前20D候选研究不优先推进,alpha158_CNTP,direction_instability;by_sensitivity_not_significant,2012;2013;2014,按冻结原生指标审阅；经济解释暂沿用描述性元数据，尚未证实独立增量或交易价值。,Codex_assisted_review,pending,2010_2023_primary_20d_descriptive_review_not_new_selection,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b
alpha158_CNTP20,alpha158,3ca6ecc6c524c42cabfbc5bc570eef034b2db54a10552c52387b27c5babbdf7f,MomentumTrend,TechnicalTrend,0/3,0,-1.0,-0.019835524411749045,0.8571428571428571,0.002663685640848207,0.0256560875756547,0.9506877963692354,2885,-0.7,0.004267654681641528,0.0048511985385130555,0.004628212339109179,0.0033257819827467636,0.0010427950672751457,-0.002663685640848207,-0.02329137302867237,-0.02514728244708261,-0.039777081211045534,absolute_mean_rank_ic_002;directional_quantile_monotonicity_080,absolute_mean_rank_ic_002,absolute_mean_rank_ic_002,False,False,False,False,当前20D候选研究不优先推进,alpha158_CNTP,none_of_four_existing_flags,2013;2014,按冻结原生指标审阅；经济解释暂沿用描述性元数据，尚未证实独立增量或交易价值。,Codex_assisted_review,pending,2010_2023_primary_20d_descriptive_review_not_new_selection,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b
alpha158_CNTP30,alpha158,93c99fb1d6b0e6fbfbaf910f794f50c8daeba847a00a44d045c5ff5b880bbf73,MomentumTrend,TechnicalTrend,3/3,3,-1.0,-0.022784548646228555,0.8571428571428571,0.0049655989969672335,0.0256560875756547,0.9506877963692354,3332,-0.8999999999999998,0.006758200661996802,0.006817079812849413,0.006364151641923917,0.005820813384762875,0.0033052356373537333,-0.0049655989969672335,-0.01994622864905093,-0.022767672616842642,-0.0558553371319998,all_conditions_pass,all_conditions_pass,all_conditions_pass,False,False,False,False,保留研究价值_待去重与暴露检查,alpha158_CNTP,none_of_four_existing_flags,2013;2014,按冻结原生指标审阅；经济解释暂沿用描述性元数据，尚未证实独立增量或交易价值。,Codex_assisted_review,pending,2010_2023_primary_20d_descriptive_review_not_new_selection,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b
alpha158_CNTP5,alpha158,ac00836042b023fe0f9f475994d890c3c3abb0ae33336642c6a4b96aaace9bb5,MomentumTrend,TechnicalTrend,0/3,0,-1.0,-0.009220015682572684,0.8571428571428571,-0.00020673889828766077,0.1868473535517121,0.9506877963692354,3,0.0,0.12795445405123262,0.081973334340008,0.10680079980481715,0.15185468577097364,0.10141979472889633,0.00020673889828766077,-0.014293407590793615,-0.012258322213354749,-0.016747539153787645,absolute_mean_rank_ic_002;minimum_1260_quantile_dates;directional_quantile_monotonicity_080,absolute_mean_rank_ic_002;weighted_return_annual_agreement_060,absolute_mean_rank_ic_002,True,False,False,True,当前20D候选研究不优先推进,alpha158_CNTP,direction_instability;by_sensitivity_not_significant,2013;2014,按冻结原生指标审阅；经济解释暂沿用描述性元数据，尚未证实独立增量或交易价值。,Codex_assisted_review,pending,2010_2023_primary_20d_descriptive_review_not_new_selection,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b
alpha158_CNTP60,alpha158,a60083a85c212e775c4043be909b3c5bec09769a4fc6c0b99c470fe68efde364,MomentumTrend,TechnicalTrend,1/3,1,-1.0,-0.021388235792372895,0.7142857142857143,0.004057745481467722,0.0580637771449027,0.9506877963692354,3361,-0.6,0.007411106702566442,0.007425179314513976,0.007483509728813295,0.006827215293919378,0.005006547156586347,-0.004057745481467722,-0.02531340250086199,-0.014961002173758299,-0.053249331333285785,directional_quantile_monotonicity_080,weighted_return_annual_agreement_060,all_conditions_pass,False,False,False,True,降低连续Alpha研究优先级,alpha158_CNTP,by_sensitivity_not_significant,2010;2013;2020;2023,按冻结原生指标审阅；经济解释暂沿用描述性元数据，尚未证实独立增量或交易价值。,Codex_assisted_review,pending,2010_2023_primary_20d_descriptive_review_not_new_selection,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b
alpha158_CORD10,alpha158,5b023d0c79f95bcb4732b9163ab689253941e572c7f509a2374f5bc15558fd73,Liquidity,VolumeAmount,3/3,3,-1.0,-0.05033321003668078,1.0,0.029206969216179872,0.0090427193914192,0.9491391368788276,3361,-0.9999999999999999,0.009750404779840892,0.009601334859353345,0.00841103916194309,0.006279196656108755,0.0005511845260208764,-0.05474055367343917,-0.0616421572403363,-0.052222272649756145,-0.029206969216179872,all_conditions_pass,all_conditions_pass,all_conditions_pass,False,False,False,False,保留研究价值_待去重与暴露检查,alpha158_CORD,none_of_four_existing_flags,,流动性/交易活跃度也可充当风险或条件变量；费用、规模中性化与容量均未验证。,Codex_assisted_review,pending,2010_2023_primary_20d_descriptive_review_not_new_selection,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b
alpha158_CORD20,alpha158,08953816b92d282762e97a949fbbc4916e1c42a9875b9f7d0bc762e55e881159,Liquidity,VolumeAmount,3/3,3,-1.0,-0.06611569932981258,1.0,0.04646265698234407,0.0090427193914192,0.9498132182383866,3361,-0.9999999999999999,0.011319050456446466,0.01004931407647313,0.008459017855429981,0.00573899518052257,-0.0009972808259078611,-0.07151182942047075,-0.0740223910042351,-0.06837565329348425,-0.04646265698234407,all_conditions_pass,all_conditions_pass,all_conditions_pass,False,False,False,False,保留研究价值_待去重与暴露检查,alpha158_CORD,none_of_four_existing_flags,,流动性/交易活跃度也可充当风险或条件变量；费用、规模中性化与容量均未验证。,Codex_assisted_review,pending,2010_2023_primary_20d_descriptive_review_not_new_selection,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b
alpha158_CORD30,alpha158,07d453998b361de87d974ca7a94aca57a5420f2cd5f4d784e66bded3f11a0e13,Liquidity,VolumeAmount,3/3,3,-1.0,-0.0695706748918209,1.0,0.05748370540959337,0.0090427193914192,0.95006524101288,3361,-0.9999999999999999,0.011777402730678042,0.010064563532801628,0.008396119168398934,0.005511960583827195,-0.0012207078144170383,-0.07638803774481567,-0.07107227515143429,-0.06861329842715358,-0.05748370540959337,all_conditions_pass,all_conditions_pass,all_conditions_pass,False,False,False,False,保留研究价值_待去重与暴露检查,alpha158_CORD,none_of_four_existing_flags,,流动性/交易活跃度也可充当风险或条件变量；费用、规模中性化与容量均未验证。,Codex_assisted_review,pending,2010_2023_primary_20d_descriptive_review_not_new_selection,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b
alpha158_CORD5,alpha158,028f139553b94a97791c76646338c5a9144e2a6edd8a1751f04b6b8f094ae6fc,Liquidity,VolumeAmount,3/3,3,-1.0,-0.03538409549401249,1.0,0.01923408416641884,0.0090427193914192,0.9477280821263873,3361,-0.9999999999999999,0.008859680359114731,0.008807533578935964,0.008129376033991604,0.0063631038968828615,0.0024298120534753925,-0.041056942856859874,-0.04406919920351083,-0.033023417655726736,-0.01923408416641884,all_conditions_pass,all_conditions_pass,all_conditions_pass,False,False,False,False,保留研究价值_待去重与暴露检查,alpha158_CORD,none_of_four_existing_flags,,流动性/交易活跃度也可充当风险或条件变量；费用、规模中性化与容量均未验证。,Codex_assisted_review,pending,2010_2023_primary_20d_descriptive_review_not_new_selection,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b
alpha158_CORD60,alpha158,bdfc5c45623fbcfc0cf0ab734949f405e12cfa69f845c4c00d4f8ceeaae24930,Liquidity,VolumeAmount,3/3,3,-1.0,-0.06334867538045524,1.0,0.0456180993131643,0.0090427193914192,0.9504365313300831,3361,-0.9999999999999999,0.010818113146252507,0.010025416888736349,0.008186480052451532,0.005776805494675558,-0.00021163076761653444,-0.07183866344335653,-0.07406124502028086,-0.05587967533677558,-0.0456180993131643,all_conditions_pass,all_conditions_pass,all_conditions_pass,False,False,False,False,保留研究价值_待去重与暴露检查,alpha158_CORD,none_of_four_existing_flags,,流动性/交易活跃度也可充当风险或条件变量；费用、规模中性化与容量均未验证。,Codex_assisted_review,pending,2010_2023_primary_20d_descriptive_review_not_new_selection,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b
alpha158_CORR10,alpha158,a6b42d2e3c3f29bce636474d96409265f0b32615886c4901695c8fc808b948e9,Liquidity,VolumeAmount,3/3,3,-1.0,-0.0630580874687597,1.0,0.03536984359952741,0.0090427193914192,0.9496944053368815,3361,-0.9999999999999999,0.0119468314881436,0.009812818957598333,0.007970578848296538,0.005457002379946365,-0.0006137028205619133,-0.06059766285281633,-0.07523225480515108,-0.08164945219240338,-0.03536984359952741,all_conditions_pass,all_conditions_pass,all_conditions_pass,False,False,False,False,保留研究价值_待去重与暴露检查,alpha158_CORR,none_of_four_existing_flags,,流动性/交易活跃度也可充当风险或条件变量；费用、规模中性化与容量均未验证。,Codex_assisted_review,pending,2010_2023_primary_20d_descriptive_review_not_new_selection,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b
alpha158_CORR20,alpha158,25ea27d85b01f77a6f9a60159977a52458003fae89fce6a292e6a05a3d351122,Liquidity,VolumeAmount,3/3,3,-1.0,-0.0642413522979644,1.0,0.03538288906160172,0.0090427193914192,0.9501179793926297,3361,-0.9999999999999999,0.012151033296461956,0.009769725289691797,0.007973740168294467,0.005477542627814955,-0.0008049558225071586,-0.06211501383687918,-0.07030177982289294,-0.08954897405234666,-0.03538288906160172,all_conditions_pass,all_conditions_pass,all_conditions_pass,False,False,False,False,保留研究价值_待去重与暴露检查,alpha158_CORR,none_of_four_existing_flags,,流动性/交易活跃度也可充当风险或条件变量；费用、规模中性化与容量均未验证。,Codex_assisted_review,pending,2010_2023_primary_20d_descriptive_review_not_new_selection,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b
alpha158_CORR30,alpha158,7314578ef909655732442d51c4d786793dc48e21a0a67068d17dae69e888529c,Liquidity,VolumeAmount,3/3,3,-1.0,-0.05788062766137623,0.9285714285714286,0.024813226977960758,0.0090427193914192,0.9502796801144483,3361,-0.9999999999999999,0.011397775708313487,0.009815495494178266,0.007873173440927023,0.005507341616919971,-5.116399488436917e-05,-0.055681682666842015,-0.06360868460940948,-0.08771074899700679,-0.024813226977960758,all_conditions_pass,all_conditions_pass,all_conditions_pass,False,False,False,False,保留研究价值_待去重与暴露检查,alpha158_CORR,none_of_four_existing_flags,2023,流动性/交易活跃度也可充当风险或条件变量；费用、规模中性化与容量均未验证。,Codex_assisted_review,pending,2010_2023_primary_20d_descriptive_review_not_new_selection,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b
