system,factor,metric,horizon,main_value,recent_value,delta,retention_ratio,stability_label
alphalens_reloaded,alpha360_HIGH40,factor_alpha_beta:beta,10D,0.0863290754285611,-0.0035511563988654,-0.0898802318274265,0.041135114458674446,sign_flip
alphalens_reloaded,alpha360_HIGH40,factor_alpha_beta:beta,20D,-0.1769531693181563,-0.036896204514697,0.1400569648034593,0.2085083000031425,negative_but_weaker
alphalens_reloaded,alpha360_HIGH40,mean_information_coefficient,10D,0.0734130552056205,0.0658510548241803,-0.007562000381440198,0.896993792721744,positive_stable_or_improved
alphalens_reloaded,alpha360_HIGH40,mean_information_coefficient,20D,0.082375946199256,0.0723140444917292,-0.010061901707526799,0.8778538860945105,positive_stable_or_improved
jqfactor_analyzer,alpha360_HIGH36,mean_information_coefficient,period_10,0.0674476601472924,0.0637364999740596,-0.0037111601732327942,0.9449771843066409,positive_stable_or_improved
jqfactor_analyzer,alpha360_HIGH36,mean_information_coefficient,period_20,0.0775479033483619,0.0722313093195881,-0.005316594028773797,0.9314411634716865,positive_stable_or_improved
jqfactor_analyzer,alpha360_HIGH37,mean_information_coefficient,period_10,0.0685676367634285,0.065476916987875,-0.003090719775553502,0.9549245107248325,positive_stable_or_improved
jqfactor_analyzer,alpha360_HIGH37,mean_information_coefficient,period_20,0.0783029184187869,0.0730726381792872,-0.005230280239499688,0.9332045299828211,positive_stable_or_improved
jqfactor_analyzer,alpha360_HIGH40,mean_information_coefficient,period_10,0.0734130552056205,0.0658510548241803,-0.007562000381440198,0.896993792721744,positive_stable_or_improved
jqfactor_analyzer,alpha360_HIGH40,mean_information_coefficient,period_20,0.0823759461992561,0.0723140444917292,-0.010061901707526896,0.8778538860945094,positive_stable_or_improved
qlib_eval,alpha360_HIGH36,annualized_return,label_10d_t1,15.773906957376804,14.75683629062736,-1.0170706667494436,0.9355219560063526,positive_stable_or_improved
qlib_eval,alpha360_HIGH36,annualized_return,label_20d_t1,17.94610747307196,17.131914326352,-0.8141931467199619,0.9546312119248336,positive_stable_or_improved
qlib_eval,alpha360_HIGH36,information_ratio,label_10d_t1,6.641171033024561,5.025120855312947,-1.6160501777116139,0.7566618643496036,positive_but_weaker
qlib_eval,alpha360_HIGH36,information_ratio,label_20d_t1,8.640701988383535,6.28968607114606,-2.3510159172374747,0.7279137828849838,positive_but_weaker
qlib_eval,alpha360_HIGH36,max_drawdown,label_10d_t1,-1.5975892403557914,-3.767810484670286,-2.1702212443144946,2.3584350654685022,negative_stable
qlib_eval,alpha360_HIGH36,max_drawdown,label_20d_t1,-2.0068111014321133,-3.7468045092430726,-1.7399934078109593,1.8670439417886686,negative_stable
qlib_eval,alpha360_HIGH36,mean,label_10d_t1,0.0662769199889781,0.0620035138261653,-0.004273406162812798,0.9355219560063524,positive_stable_or_improved
qlib_eval,alpha360_HIGH36,mean,label_20d_t1,0.075403812912067,0.071982833304,-0.003420979608067004,0.9546312119248344,positive_stable_or_improved
qlib_eval,alpha360_HIGH36,std,label_10d_t1,0.153959372133207,0.1903523618008319,0.036392989667624887,1.2363804759877648,positive_stable_or_improved
qlib_eval,alpha360_HIGH36,std,label_20d_t1,0.1346271831033113,0.1765584248928114,0.04193124178950011,1.3114619263579375,positive_stable_or_improved
qlib_eval,alpha360_HIGH37,annualized_return,label_10d_t1,16.000783184328853,15.123255780784891,-0.8775274035439615,0.9451572217787808,positive_stable_or_improved
qlib_eval,alpha360_HIGH37,annualized_return,label_20d_t1,18.13155304516196,17.322861394166164,-0.8086916509957973,0.9553986550969179,positive_stable_or_improved
qlib_eval,alpha360_HIGH37,information_ratio,label_10d_t1,6.696396617711113,5.153589672824124,-1.5428069448869897,0.7696063968483494,positive_but_weaker
qlib_eval,alpha360_HIGH37,information_ratio,label_20d_t1,8.592489753067028,6.354660720924409,-2.237829032142619,0.739559883519926,positive_but_weaker
qlib_eval,alpha360_HIGH37,max_drawdown,label_10d_t1,-1.5177492087600268,-3.610278012524621,-2.092528803764594,2.3787052509644537,negative_stable
qlib_eval,alpha360_HIGH37,max_drawdown,label_20d_t1,-2.112744527097348,-3.7090148321611673,-1.5962703050638192,1.7555434576166664,negative_stable
qlib_eval,alpha360_HIGH37,mean,label_10d_t1,0.0672301814467598,0.0635430915159029,-0.003687089930856896,0.9451572217787819,positive_stable_or_improved
qlib_eval,alpha360_HIGH37,mean,label_20d_t1,0.0761829959880754,0.0727851319082611,-0.0033978640798143084,0.9553986550969175,positive_stable_or_improved
qlib_eval,alpha360_HIGH37,std,label_10d_t1,0.1548857965252658,0.1902159723935613,0.03533017586829551,1.2281046852642312,positive_stable_or_improved
qlib_eval,alpha360_HIGH37,std,label_20d_t1,0.1367815445280274,0.176700909008453,0.0399193644804256,1.2918475925839972,positive_stable_or_improved
qlib_eval,alpha360_HIGH40,annualized_return,label_10d_t1,17.09362353134487,15.104164635821494,-1.9894588955233772,0.8836139750079747,positive_stable_or_improved
qlib_eval,alpha360_HIGH40,annualized_return,label_20d_t1,19.12818010707124,17.12585729196923,-2.002322815102012,0.8953207882875486,positive_stable_or_improved
qlib_eval,alpha360_HIGH40,information_ratio,label_10d_t1,6.970456702053609,5.157218458058235,-1.8132382439953734,0.739868085908752,positive_but_weaker
qlib_eval,alpha360_HIGH40,information_ratio,label_20d_t1,8.588899215747885,6.2987944886938765,-2.2901047270540085,0.733364582639989,positive_but_weaker
qlib_eval,alpha360_HIGH40,max_drawdown,label_10d_t1,-1.42523839223273,-3.41468903894925,-1.98945064671652,2.3958721976327864,negative_stable
qlib_eval,alpha360_HIGH40,max_drawdown,label_20d_t1,-2.379721862783896,-4.155638462158941,-1.7759165993750452,1.7462706575706732,negative_stable
qlib_eval,alpha360_HIGH40,mean,label_10d_t1,0.0718219476106927,0.0634628766210987,-0.008359070989594,0.8836139750079749,positive_stable_or_improved
qlib_eval,alpha360_HIGH40,mean,label_20d_t1,0.0803705046515598,0.0719573835797026,-0.008413121071857196,0.8953207882875485,positive_stable_or_improved
qlib_eval,alpha360_HIGH40,std,label_10d_t1,0.1589587439622464,0.1898421763147629,0.030883432352516504,1.1942858353224752,positive_stable_or_improved
qlib_eval,alpha360_HIGH40,std,label_20d_t1,0.1443602638560052,0.1762407788602,0.03188051500419481,1.2208399607525975,positive_stable_or_improved
