factor_name,required_fields,dependency_count,compute_adapter,pit_semantics,dependency_status,research_only
kunquant_alpha101_alpha077_canonical_vwap_v2,"$amount,$high,$low,$volume,$vwap",5,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha078_canonical_vwap_v2,"$amount,$low,$volume,$vwap",4,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha081_canonical_vwap_v2,"$amount,$volume,$vwap",3,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha083_canonical_vwap_v2,"$amount,$close,$high,$low,$volume,$vwap",6,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha084_canonical_vwap_v2,"$amount,$close,$volume,$vwap",4,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha086_canonical_vwap_v2,"$amount,$close,$open,$volume,$vwap",5,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha094_canonical_vwap_v2,"$amount,$volume,$vwap",3,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha096_canonical_vwap_v2,"$amount,$close,$volume,$vwap",4,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha098_canonical_vwap_v2,"$amount,$open,$volume,$vwap",4,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha002,"$close,$open,$volume",3,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha003,"$open,$volume",2,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha004,$low,1,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha005,"$amount,$close,$open,$volume",4,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha006,"$open,$volume",2,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha008,"$close,$open",2,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha009,$close,1,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha010,$close,1,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha011,"$amount,$close,$volume",3,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha012,"$close,$volume",2,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha013,"$close,$volume",2,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha014,"$close,$open,$volume",3,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha015,"$high,$volume",2,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha016,"$high,$volume",2,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha017,"$close,$volume",2,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha018,"$close,$open",2,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha020,"$close,$high,$low,$open",4,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha022,"$close,$high,$volume",3,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha024,$close,1,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha025,"$amount,$close,$high,$volume",4,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha026,"$high,$volume",2,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha028,"$close,$high,$low,$volume",4,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha029,$close,1,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha030,"$close,$volume",2,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha031,"$close,$low,$volume",3,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha033,"$close,$open",2,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha034,$close,1,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha035,"$close,$high,$low,$volume",4,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha038,"$close,$open",2,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha040,"$high,$volume",2,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha041,"$amount,$high,$low,$volume",4,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha042,"$amount,$close,$volume",3,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha043,"$close,$volume",2,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha044,"$high,$volume",2,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha045,"$close,$volume",2,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha046,$close,1,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha047,"$amount,$close,$high,$volume",4,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha049,$close,1,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha050,"$amount,$volume",2,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha051,$close,1,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha053,"$close,$high,$low",3,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha054,"$close,$high,$low,$open",4,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha055,"$close,$high,$low,$volume",4,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha057,"$amount,$close,$volume",3,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha060,"$close,$high,$low,$volume",4,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha062,"$amount,$high,$low,$open,$volume",5,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha064,"$amount,$high,$low,$open,$volume",5,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha066,"$amount,$high,$low,$open,$volume",5,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha071,"$amount,$close,$low,$open,$volume",5,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha072,"$amount,$high,$low,$volume",4,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha073,"$amount,$low,$open,$volume",4,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha074,"$amount,$close,$high,$volume",4,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha077,"$amount,$high,$low,$volume",4,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha078,"$amount,$low,$volume",3,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha083,"$amount,$close,$high,$low,$volume",5,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha084,"$amount,$close,$volume",3,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha085,"$close,$high,$low,$volume",4,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha088,"$close,$high,$low,$open,$volume",5,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha092,"$close,$high,$low,$open,$volume",5,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha094,"$amount,$volume",2,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha095,"$high,$low,$open,$volume",4,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha096,"$amount,$close,$volume",3,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha098,"$amount,$open,$volume",3,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha101,"$close,$high,$low,$open",4,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha001,$close,1,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha007,"$close,$volume",2,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha021,"$close,$volume",2,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha023,$high,1,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha027,"$amount,$volume",2,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha061,"$amount,$volume",2,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha065,"$amount,$open,$volume",3,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha068,"$close,$high,$low,$volume",4,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha075,"$amount,$low,$volume",3,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha081,"$amount,$volume",2,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha086,"$amount,$close,$open,$volume",4,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
kunquant_alpha101_alpha099,"$high,$low,$volume",3,factor_research.alpha101_source.compute_alpha101_features,legacy_or_same_day_market_data,proven,True
alpha158_BETA10,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_BETA20,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_BETA30,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_BETA5,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_BETA60,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_CNTD10,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_CNTD20,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_CNTD30,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_CNTD5,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_CNTD60,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_CNTN10,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_CNTN20,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_CNTN30,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_CNTN60,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_CNTP10,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_CNTP20,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_CNTP30,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_CNTP5,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_CNTP60,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_CORD10,"$close,$volume",2,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_CORD20,"$close,$volume",2,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_CORD30,"$close,$volume",2,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_CORD5,"$close,$volume",2,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_CORD60,"$close,$volume",2,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_CORR10,"$close,$volume",2,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_CORR20,"$close,$volume",2,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_CORR30,"$close,$volume",2,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_CORR5,"$close,$volume",2,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_CORR60,"$close,$volume",2,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_HIGH0,"$close,$high",2,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_IMAX10,$high,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_IMAX20,$high,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_IMAX30,$high,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_IMAX60,$high,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_IMIN10,$low,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_IMIN20,$low,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_IMIN30,$low,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_IMIN5,$low,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_IMIN60,$low,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_IMXD10,"$high,$low",2,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_IMXD20,"$high,$low",2,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_IMXD30,"$high,$low",2,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_IMXD5,"$high,$low",2,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_IMXD60,"$high,$low",2,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_KLEN,"$high,$low,$open",3,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_KLOW,"$close,$low,$open",3,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_KLOW2,"$close,$high,$low,$open",4,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_KMID,"$close,$open",2,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_KMID2,"$close,$high,$low,$open",4,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_KSFT,"$close,$high,$low,$open",4,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_KSFT2,"$close,$high,$low",3,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_KUP,"$close,$high,$open",3,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_KUP2,"$close,$high,$low,$open",4,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_LOW0,"$close,$low",2,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_MA10,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_MA20,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_MA30,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_MA5,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_MA60,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_MAX10,"$close,$high",2,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_MAX20,"$close,$high",2,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_MAX30,"$close,$high",2,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_MAX5,"$close,$high",2,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_MAX60,"$close,$high",2,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_MIN10,"$close,$low",2,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_MIN20,"$close,$low",2,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_MIN30,"$close,$low",2,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_MIN5,"$close,$low",2,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_MIN60,"$close,$low",2,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_OPEN0,"$close,$open",2,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_QTLD10,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_QTLD20,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_QTLD30,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_QTLD5,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_QTLD60,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_QTLU10,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_QTLU20,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_QTLU30,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_QTLU5,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_QTLU60,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_RANK10,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_RANK20,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_RANK30,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_RANK60,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_RESI10,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_RESI20,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_RESI30,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_RESI5,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_RESI60,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_ROC10,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_ROC20,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_ROC30,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_ROC5,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_ROC60,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_RSQR10,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_RSQR20,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_RSQR30,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_RSQR5,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_RSQR60,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_RSV10,"$close,$high,$low",3,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_RSV20,"$close,$high,$low",3,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_RSV30,"$close,$high,$low",3,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_RSV5,"$close,$high,$low",3,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_RSV60,"$close,$high,$low",3,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_STD10,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_STD20,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_STD30,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_STD5,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_STD60,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_SUMD10,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_SUMD20,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_SUMD30,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_SUMD5,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_SUMD60,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_SUMN10,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_SUMN20,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_SUMN30,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_SUMN5,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_SUMN60,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_SUMP10,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
alpha158_SUMP20,$close,1,qlib_expression_frame_v1,legacy_or_same_day_market_data,proven,True
