factor,source,original_family,original_subfamily,primary_family,secondary_family,economic_subfamily,mechanism,research_role,sleeve_id,expected_direction,direction_rationale,evidence_level,intended_role,data_horizon,turnover_implication,global_coverage,global_qualified_month_fraction,definition,lineage_status
alpha158_CORD10,alpha158,Liquidity,VolumeAmount,LiquidityTrading,,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_or_conditioning,daily_short_to_medium,high,0.9995057331476838,1.0,"Qlib Alpha158 expression: Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 10)",legacy_v1
alpha158_CORD20,alpha158,Liquidity,VolumeAmount,LiquidityTrading,,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_or_conditioning,daily_short_to_medium,high,0.9998415563647776,1.0,"Qlib Alpha158 expression: Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 20)",legacy_v1
alpha158_CORD30,alpha158,Liquidity,VolumeAmount,LiquidityTrading,,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_or_conditioning,daily_short_to_medium,high,0.999903774475194,1.0,"Qlib Alpha158 expression: Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 30)",legacy_v1
alpha158_CORD5,alpha158,Liquidity,VolumeAmount,LiquidityTrading,,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_or_conditioning,daily_short_to_medium,high,0.9988916674492236,1.0,"Qlib Alpha158 expression: Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 5)",legacy_v1
alpha158_CORD60,alpha158,Liquidity,VolumeAmount,LiquidityTrading,,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_or_conditioning,daily_short_to_medium,high,0.9999826098449146,1.0,"Qlib Alpha158 expression: Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 60)",legacy_v1
alpha158_CORR10,alpha158,Liquidity,VolumeAmount,LiquidityTrading,,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_or_conditioning,daily_short_to_medium,high,0.9995853414131858,1.0,"Qlib Alpha158 expression: Corr($close, Log($volume+1), 10)",legacy_v1
alpha158_CORR20,alpha158,Liquidity,VolumeAmount,LiquidityTrading,,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_or_conditioning,daily_short_to_medium,high,0.9998508311141564,1.0,"Qlib Alpha158 expression: Corr($close, Log($volume+1), 20)",legacy_v1
alpha158_CORR30,alpha158,Liquidity,VolumeAmount,LiquidityTrading,,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_or_conditioning,daily_short_to_medium,high,0.999914595016136,1.0,"Qlib Alpha158 expression: Corr($close, Log($volume+1), 30)",legacy_v1
alpha158_CORR5,alpha158,Liquidity,VolumeAmount,LiquidityTrading,,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_or_conditioning,daily_short_to_medium,high,0.999008761160132,1.0,"Qlib Alpha158 expression: Corr($close, Log($volume+1), 5)",legacy_v1
alpha158_CORR60,alpha158,Liquidity,VolumeAmount,LiquidityTrading,,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_or_conditioning,daily_short_to_medium,high,0.9999922710421842,1.0,"Qlib Alpha158 expression: Corr($close, Log($volume+1), 60)",legacy_v1
alpha158_HIGH0,alpha158,Liquidity,VolumeAmount,LiquidityTrading,,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_or_conditioning,daily_short_to_medium,high,0.998631974466615,1.0,Qlib Alpha158 expression: $high/$close,legacy_v1
alpha158_IMAX10,alpha158,VolatilityRisk,RollingRiskOrPriceState,RiskLottery,,RollingRiskOrPriceState,lottery_preference,alpha_risk_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_risk_or_conditioning,daily_short_to_medium,medium_or_unknown,0.9997294864764492,1.0,"Qlib Alpha158 expression: IdxMax($high, 10)/10",legacy_v1
alpha158_IMAX20,alpha158,VolatilityRisk,RollingRiskOrPriceState,RiskLottery,,RollingRiskOrPriceState,lottery_preference,alpha_risk_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_risk_or_conditioning,daily_short_to_medium,medium_or_unknown,0.9998751773312758,1.0,"Qlib Alpha158 expression: IdxMax($high, 20)/20",legacy_v1
alpha158_IMAX30,alpha158,VolatilityRisk,RollingRiskOrPriceState,RiskLottery,,RollingRiskOrPriceState,lottery_preference,alpha_risk_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_risk_or_conditioning,daily_short_to_medium,medium_or_unknown,0.9999319851712216,1.0,"Qlib Alpha158 expression: IdxMax($high, 30)/30",legacy_v1
alpha158_IMAX5,alpha158,VolatilityRisk,RollingRiskOrPriceState,RiskLottery,,RollingRiskOrPriceState,lottery_preference,alpha_risk_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_risk_or_conditioning,daily_short_to_medium,medium_or_unknown,0.9993121227543996,1.0,"Qlib Alpha158 expression: IdxMax($high, 5)/5",recovered
alpha158_IMAX60,alpha158,VolatilityRisk,RollingRiskOrPriceState,RiskLottery,,RollingRiskOrPriceState,lottery_preference,alpha_risk_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_risk_or_conditioning,daily_short_to_medium,medium_or_unknown,0.9999953626253104,1.0,"Qlib Alpha158 expression: IdxMax($high, 60)/60",legacy_v1
alpha158_IMIN10,alpha158,VolatilityRisk,RollingRiskOrPriceState,RiskLottery,,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_risk_or_conditioning,daily_short_to_medium,medium_or_unknown,0.9997294864764492,1.0,"Qlib Alpha158 expression: IdxMin($low, 10)/10",legacy_v1
alpha158_IMIN20,alpha158,VolatilityRisk,RollingRiskOrPriceState,RiskLottery,,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_risk_or_conditioning,daily_short_to_medium,medium_or_unknown,0.9998751773312758,1.0,"Qlib Alpha158 expression: IdxMin($low, 20)/20",legacy_v1
alpha158_IMIN30,alpha158,VolatilityRisk,RollingRiskOrPriceState,RiskLottery,,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_risk_or_conditioning,daily_short_to_medium,medium_or_unknown,0.9999319851712216,1.0,"Qlib Alpha158 expression: IdxMin($low, 30)/30",legacy_v1
alpha158_IMIN5,alpha158,VolatilityRisk,RollingRiskOrPriceState,RiskLottery,,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_risk_or_conditioning,daily_short_to_medium,medium_or_unknown,0.9993121227543996,1.0,"Qlib Alpha158 expression: IdxMin($low, 5)/5",legacy_v1
alpha158_IMIN60,alpha158,VolatilityRisk,RollingRiskOrPriceState,RiskLottery,,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_risk_or_conditioning,daily_short_to_medium,medium_or_unknown,0.9999953626253104,1.0,"Qlib Alpha158 expression: IdxMin($low, 60)/60",legacy_v1
alpha158_IMXD10,alpha158,VolatilityRisk,RollingRiskOrPriceState,RiskLottery,,RollingRiskOrPriceState,lottery_preference,alpha_risk_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_risk_or_conditioning,daily_short_to_medium,medium_or_unknown,0.9997294864764492,1.0,"Qlib Alpha158 expression: (IdxMax($high, 10)-IdxMin($low, 10))/10",legacy_v1
alpha158_IMXD20,alpha158,VolatilityRisk,RollingRiskOrPriceState,RiskLottery,,RollingRiskOrPriceState,lottery_preference,alpha_risk_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_risk_or_conditioning,daily_short_to_medium,medium_or_unknown,0.9998751773312758,1.0,"Qlib Alpha158 expression: (IdxMax($high, 20)-IdxMin($low, 20))/20",legacy_v1
alpha158_IMXD30,alpha158,VolatilityRisk,RollingRiskOrPriceState,RiskLottery,,RollingRiskOrPriceState,lottery_preference,alpha_risk_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_risk_or_conditioning,daily_short_to_medium,medium_or_unknown,0.9999319851712216,1.0,"Qlib Alpha158 expression: (IdxMax($high, 30)-IdxMin($low, 30))/30",legacy_v1
alpha158_IMXD5,alpha158,VolatilityRisk,RollingRiskOrPriceState,RiskLottery,,RollingRiskOrPriceState,lottery_preference,alpha_risk_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_risk_or_conditioning,daily_short_to_medium,medium_or_unknown,0.9993121227543996,1.0,"Qlib Alpha158 expression: (IdxMax($high, 5)-IdxMin($low, 5))/5",legacy_v1
alpha158_IMXD60,alpha158,VolatilityRisk,RollingRiskOrPriceState,RiskLottery,,RollingRiskOrPriceState,lottery_preference,alpha_risk_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_risk_or_conditioning,daily_short_to_medium,medium_or_unknown,0.9999953626253104,1.0,"Qlib Alpha158 expression: (IdxMax($high, 60)-IdxMin($low, 60))/60",legacy_v1
alpha158_KLEN,alpha158,TradingBehavior,PriceVolumeOrKbar,TradingBehavior,,PriceVolumeOrKbar,trading_activity_or_attention,alpha_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_or_conditioning,daily_short_to_medium,high,0.998631974466615,1.0,Qlib Alpha158 expression: ($high-$low)/$open,legacy_v1
alpha158_KLOW,alpha158,TradingBehavior,PriceVolumeOrKbar,TradingBehavior,,PriceVolumeOrKbar,trading_activity_or_attention,alpha_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_or_conditioning,daily_short_to_medium,high,0.998631974466615,1.0,"Qlib Alpha158 expression: (Less($open, $close)-$low)/$open",legacy_v1
alpha158_KLOW2,alpha158,TradingBehavior,PriceVolumeOrKbar,TradingBehavior,,PriceVolumeOrKbar,trading_activity_or_attention,alpha_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_or_conditioning,daily_short_to_medium,high,0.998631974466615,1.0,"Qlib Alpha158 expression: (Less($open, $close)-$low)/($high-$low+1e-12)",legacy_v1
alpha158_KMID,alpha158,TradingBehavior,PriceVolumeOrKbar,TradingBehavior,,PriceVolumeOrKbar,trading_activity_or_attention,alpha_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_or_conditioning,daily_short_to_medium,high,0.998631974466615,1.0,Qlib Alpha158 expression: ($close-$open)/$open,legacy_v1
alpha158_KMID2,alpha158,TradingBehavior,PriceVolumeOrKbar,TradingBehavior,,PriceVolumeOrKbar,trading_activity_or_attention,alpha_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_or_conditioning,daily_short_to_medium,high,0.998631974466615,1.0,Qlib Alpha158 expression: ($close-$open)/($high-$low+1e-12),legacy_v1
alpha158_KSFT,alpha158,TradingBehavior,PriceVolumeOrKbar,TradingBehavior,,PriceVolumeOrKbar,trading_activity_or_attention,alpha_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_or_conditioning,daily_short_to_medium,high,0.998631974466615,1.0,Qlib Alpha158 expression: (2*$close-$high-$low)/$open,legacy_v1
alpha158_KSFT2,alpha158,TradingBehavior,PriceVolumeOrKbar,TradingBehavior,,PriceVolumeOrKbar,trading_activity_or_attention,alpha_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_or_conditioning,daily_short_to_medium,high,0.998631974466615,1.0,Qlib Alpha158 expression: (2*$close-$high-$low)/($high-$low+1e-12),legacy_v1
alpha158_KUP,alpha158,TradingBehavior,PriceVolumeOrKbar,TradingBehavior,,PriceVolumeOrKbar,trading_activity_or_attention,alpha_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_or_conditioning,daily_short_to_medium,high,0.998631974466615,1.0,"Qlib Alpha158 expression: ($high-Greater($open, $close))/$open",legacy_v1
alpha158_KUP2,alpha158,TradingBehavior,PriceVolumeOrKbar,TradingBehavior,,PriceVolumeOrKbar,trading_activity_or_attention,alpha_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_or_conditioning,daily_short_to_medium,high,0.998631974466615,1.0,"Qlib Alpha158 expression: ($high-Greater($open, $close))/($high-$low+1e-12)",legacy_v1
alpha158_LOW0,alpha158,Liquidity,VolumeAmount,LiquidityTrading,,VolumeAmount,liquidity_or_speculative_activity,alpha_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_or_conditioning,daily_short_to_medium,high,0.998631974466615,1.0,Qlib Alpha158 expression: $low/$close,legacy_v1
alpha158_MA10,alpha158,VolatilityRisk,RollingRiskOrPriceState,RiskLottery,,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_risk_or_conditioning,daily_short_to_medium,medium_or_unknown,0.998631974466615,1.0,"Qlib Alpha158 expression: Mean($close, 10)/$close",legacy_v1
alpha158_MA20,alpha158,VolatilityRisk,RollingRiskOrPriceState,RiskLottery,,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_risk_or_conditioning,daily_short_to_medium,medium_or_unknown,0.998631974466615,1.0,"Qlib Alpha158 expression: Mean($close, 20)/$close",legacy_v1
alpha158_MA30,alpha158,VolatilityRisk,RollingRiskOrPriceState,RiskLottery,,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_risk_or_conditioning,daily_short_to_medium,medium_or_unknown,0.998631974466615,1.0,"Qlib Alpha158 expression: Mean($close, 30)/$close",legacy_v1
alpha158_MA5,alpha158,VolatilityRisk,RollingRiskOrPriceState,RiskLottery,,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_risk_or_conditioning,daily_short_to_medium,medium_or_unknown,0.998631974466615,1.0,"Qlib Alpha158 expression: Mean($close, 5)/$close",legacy_v1
alpha158_MA60,alpha158,VolatilityRisk,RollingRiskOrPriceState,RiskLottery,,RollingRiskOrPriceState,realized_or_residual_risk,alpha_risk_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_risk_or_conditioning,daily_short_to_medium,medium_or_unknown,0.998631974466615,1.0,"Qlib Alpha158 expression: Mean($close, 60)/$close",legacy_v1
alpha158_MAX10,alpha158,VolatilityRisk,RollingRiskOrPriceState,RiskLottery,,RollingRiskOrPriceState,lottery_preference,alpha_risk_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_risk_or_conditioning,daily_short_to_medium,medium_or_unknown,0.998631974466615,1.0,"Qlib Alpha158 expression: Max($high, 10)/$close",legacy_v1
alpha158_MAX20,alpha158,VolatilityRisk,RollingRiskOrPriceState,RiskLottery,,RollingRiskOrPriceState,lottery_preference,alpha_risk_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_risk_or_conditioning,daily_short_to_medium,medium_or_unknown,0.998631974466615,1.0,"Qlib Alpha158 expression: Max($high, 20)/$close",legacy_v1
alpha158_MAX30,alpha158,VolatilityRisk,RollingRiskOrPriceState,RiskLottery,,RollingRiskOrPriceState,lottery_preference,alpha_risk_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_risk_or_conditioning,daily_short_to_medium,medium_or_unknown,0.998631974466615,1.0,"Qlib Alpha158 expression: Max($high, 30)/$close",legacy_v1
alpha158_MAX5,alpha158,VolatilityRisk,RollingRiskOrPriceState,RiskLottery,,RollingRiskOrPriceState,lottery_preference,alpha_risk_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_risk_or_conditioning,daily_short_to_medium,medium_or_unknown,0.998631974466615,1.0,"Qlib Alpha158 expression: Max($high, 5)/$close",legacy_v1
alpha158_MAX60,alpha158,VolatilityRisk,RollingRiskOrPriceState,RiskLottery,,RollingRiskOrPriceState,lottery_preference,alpha_risk_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_risk_or_conditioning,daily_short_to_medium,medium_or_unknown,0.998631974466615,1.0,"Qlib Alpha158 expression: Max($high, 60)/$close",legacy_v1
