catalog_name,factor_name,category,expression,required_fields,missing_fields,field_status,source_project,source_file,source_function,source_commit,source_path
alpha158_LOW0,LOW0,price_volume_lag,$low/$close,"$close,$low",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_VWAP0,VWAP0,price_volume_lag,$vwap/$close,"$close,$vwap",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_ROC5,ROC5,rolling_price,"Ref($close, 5)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_ROC10,ROC10,rolling_price,"Ref($close, 10)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_ROC20,ROC20,rolling_price,"Ref($close, 20)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_ROC30,ROC30,rolling_price,"Ref($close, 30)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_ROC60,ROC60,rolling_price,"Ref($close, 60)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_MA5,MA5,rolling_price,"Mean($close, 5)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_MA10,MA10,rolling_price,"Mean($close, 10)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_MA20,MA20,rolling_price,"Mean($close, 20)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_MA30,MA30,rolling_price,"Mean($close, 30)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_MA60,MA60,rolling_price,"Mean($close, 60)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_STD5,STD5,rolling_price,"Std($close, 5)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_STD10,STD10,rolling_price,"Std($close, 10)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_STD20,STD20,rolling_price,"Std($close, 20)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_STD30,STD30,rolling_price,"Std($close, 30)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_STD60,STD60,rolling_price,"Std($close, 60)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_BETA5,BETA5,rolling_price,"Slope($close, 5)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_BETA10,BETA10,rolling_price,"Slope($close, 10)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_BETA20,BETA20,rolling_price,"Slope($close, 20)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_BETA30,BETA30,rolling_price,"Slope($close, 30)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_BETA60,BETA60,rolling_price,"Slope($close, 60)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_RSQR5,RSQR5,rolling_price,"Rsquare($close, 5)",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_RSQR10,RSQR10,rolling_price,"Rsquare($close, 10)",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_RSQR20,RSQR20,rolling_price,"Rsquare($close, 20)",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_RSQR30,RSQR30,rolling_price,"Rsquare($close, 30)",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_RSQR60,RSQR60,rolling_price,"Rsquare($close, 60)",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_RESI5,RESI5,rolling_price,"Resi($close, 5)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_RESI10,RESI10,rolling_price,"Resi($close, 10)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_RESI20,RESI20,rolling_price,"Resi($close, 20)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_RESI30,RESI30,rolling_price,"Resi($close, 30)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_RESI60,RESI60,rolling_price,"Resi($close, 60)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_MAX5,MAX5,rolling_price,"Max($high, 5)/$close","$close,$high",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_MAX10,MAX10,rolling_price,"Max($high, 10)/$close","$close,$high",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_MAX20,MAX20,rolling_price,"Max($high, 20)/$close","$close,$high",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_MAX30,MAX30,rolling_price,"Max($high, 30)/$close","$close,$high",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_MAX60,MAX60,rolling_price,"Max($high, 60)/$close","$close,$high",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_MIN5,MIN5,rolling_price,"Min($low, 5)/$close","$close,$low",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_MIN10,MIN10,rolling_price,"Min($low, 10)/$close","$close,$low",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_MIN20,MIN20,rolling_price,"Min($low, 20)/$close","$close,$low",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_MIN30,MIN30,rolling_price,"Min($low, 30)/$close","$close,$low",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_MIN60,MIN60,rolling_price,"Min($low, 60)/$close","$close,$low",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_QTLU5,QTLU5,rolling_price,"Quantile($close, 5, 0.8)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_QTLU10,QTLU10,rolling_price,"Quantile($close, 10, 0.8)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_QTLU20,QTLU20,rolling_price,"Quantile($close, 20, 0.8)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_QTLU30,QTLU30,rolling_price,"Quantile($close, 30, 0.8)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_QTLU60,QTLU60,rolling_price,"Quantile($close, 60, 0.8)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_QTLD5,QTLD5,rolling_price,"Quantile($close, 5, 0.2)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_QTLD10,QTLD10,rolling_price,"Quantile($close, 10, 0.2)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_QTLD20,QTLD20,rolling_price,"Quantile($close, 20, 0.2)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_QTLD30,QTLD30,rolling_price,"Quantile($close, 30, 0.2)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_QTLD60,QTLD60,rolling_price,"Quantile($close, 60, 0.2)/$close",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_RANK5,RANK5,rolling_price,"Rank($close, 5)",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_RANK10,RANK10,rolling_price,"Rank($close, 10)",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_RANK20,RANK20,rolling_price,"Rank($close, 20)",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_RANK30,RANK30,rolling_price,"Rank($close, 30)",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_RANK60,RANK60,rolling_price,"Rank($close, 60)",$close,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_RSV5,RSV5,rolling_price,"($close-Min($low, 5))/(Max($high, 5)-Min($low, 5)+1e-12)","$close,$high,$low",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_RSV10,RSV10,rolling_price,"($close-Min($low, 10))/(Max($high, 10)-Min($low, 10)+1e-12)","$close,$high,$low",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_RSV20,RSV20,rolling_price,"($close-Min($low, 20))/(Max($high, 20)-Min($low, 20)+1e-12)","$close,$high,$low",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_RSV30,RSV30,rolling_price,"($close-Min($low, 30))/(Max($high, 30)-Min($low, 30)+1e-12)","$close,$high,$low",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_RSV60,RSV60,rolling_price,"($close-Min($low, 60))/(Max($high, 60)-Min($low, 60)+1e-12)","$close,$high,$low",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_IMAX5,IMAX5,rolling_price,"IdxMax($high, 5)/5",$high,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_IMAX10,IMAX10,rolling_price,"IdxMax($high, 10)/10",$high,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_IMAX20,IMAX20,rolling_price,"IdxMax($high, 20)/20",$high,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_IMAX30,IMAX30,rolling_price,"IdxMax($high, 30)/30",$high,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_IMAX60,IMAX60,rolling_price,"IdxMax($high, 60)/60",$high,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_IMIN5,IMIN5,rolling_price,"IdxMin($low, 5)/5",$low,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_IMIN10,IMIN10,rolling_price,"IdxMin($low, 10)/10",$low,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_IMIN20,IMIN20,rolling_price,"IdxMin($low, 20)/20",$low,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_IMIN30,IMIN30,rolling_price,"IdxMin($low, 30)/30",$low,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_IMIN60,IMIN60,rolling_price,"IdxMin($low, 60)/60",$low,,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_IMXD5,IMXD5,rolling_price,"(IdxMax($high, 5)-IdxMin($low, 5))/5","$high,$low",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_IMXD10,IMXD10,rolling_price,"(IdxMax($high, 10)-IdxMin($low, 10))/10","$high,$low",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_IMXD20,IMXD20,rolling_price,"(IdxMax($high, 20)-IdxMin($low, 20))/20","$high,$low",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_IMXD30,IMXD30,rolling_price,"(IdxMax($high, 30)-IdxMin($low, 30))/30","$high,$low",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_IMXD60,IMXD60,rolling_price,"(IdxMax($high, 60)-IdxMin($low, 60))/60","$high,$low",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_CORR5,CORR5,price_volume_correlation,"Corr($close, Log($volume+1), 5)","$close,$volume",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_CORR10,CORR10,price_volume_correlation,"Corr($close, Log($volume+1), 10)","$close,$volume",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_CORR20,CORR20,price_volume_correlation,"Corr($close, Log($volume+1), 20)","$close,$volume",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_CORR30,CORR30,price_volume_correlation,"Corr($close, Log($volume+1), 30)","$close,$volume",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_CORR60,CORR60,price_volume_correlation,"Corr($close, Log($volume+1), 60)","$close,$volume",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_CORD5,CORD5,price_volume_correlation,"Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 5)","$close,$volume",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_CORD10,CORD10,price_volume_correlation,"Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 10)","$close,$volume",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_CORD20,CORD20,price_volume_correlation,"Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 20)","$close,$volume",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha158_CORD30,CORD30,price_volume_correlation,"Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 30)","$close,$volume",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
